,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,DW10,DW11,DW12,DW13,DW14,DW15,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,CW9,CW10,CW11,CW12,CW13,CW14,CW15
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Frankiales|f__Acidothermaceae|g__Acidothermus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Eukaryota|p__Fungi|c__Basidiomycota|o__Pucciniomycotina|f__Pucciniomycotina_X|g__Pucciniomycotina_XX,1.78E-05,2.53E-05,0,0.000170444,0.000179251,0.0002269,0.000294927,0.000272304,0.00035618,0.001030338,0.000850196,0.001056061,0.000479106,0.000302924,0.00041346,0,0,0,0,0,0,1.23E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Eukaryota|p__Ochrophyta|c__Eustigmatophyceae|o__Eustigmatophyceae_X|f__Eustigmatophyceae_XX|g__Goniochloris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000145956,0.000190292,7.43E-05,0.000449602,0.000241756,0.000180969,8.97E-05,0.000121385,0.000107294,8.56E-05,0.000116281,7.62E-05,8.41E-05,0.000177299,5.65E-05,2.11E-05,3.10E-05,8.10E-05,0.000122648,2.94E-05,9.24E-05,3.45E-05,0.00010758,5.57E-05,2.48E-05,9.36E-05,0.000137106,3.07E-05,2.08E-05,1.34E-05
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Micavibrionales|f__|g__,2.49E-05,1.31E-05,1.69E-05,8.84E-05,0.0001063,0,9.02E-05,0.0001184,0.000115,0.000254359,0.000228855,0.0001539,0.000251825,0.000249148,0.000206995,7.24E-05,0.000110264,0.000134513,0.000175625,0.000134169,9.51E-05,0.000133027,0.000180185,0.000184312,0,0.000110417,0.00011644,0.000177224,0.00024021,0.000238371,4.78E-05,0,9.10E-06,2.08E-05,2.59E-05,0,1.39E-05,3.96E-05,1.79E-05,1.41E-05,0,6.46E-05,7.30E-05,0,2.36E-05,5.24E-05,5.95E-05,0.0001122,9.34E-05,0.000165004,0.000165155,0.000232722,9.40E-05,3.70E-05,4.74E-05,0,3.51E-05,8.22E-05,0.000122107,7.25E-06
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Rubritepida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000103392,0.000139816,0.000129433,0.000127293,0.000202052,0.000265809,0.000218168,0.000442392,0.000387232,0.000281599,0.000392964,0.000200422,0.000201449,0.000196639,9.31E-05,0.00032612,0.000185852,0.000126728,0.000295045,4.04E-05,0.000178096,0.000126821,0.000175822,0.000257133,0.000100537,0.00011234,5.65E-05,0.000137545,1.56E-05,0.000132147
k__Eukaryota|p__Fungi|c__Ascomycota|o__Pezizomycotina|f__Dothideomycetes|g__Dothideomycetes_X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000393137,0.000360034,0.000184432,0.0001152,0.000195651,5.98E-05,9.42E-05,0.000164982,0.000277843,0.000188861,7.20E-05,0.000143494,8.79E-05,0.0001095,0.000139485,6.16E-05,6.43E-05,7.75E-05,0.0001199,0.000243955,0.000356292,7.11E-05,9.70E-05,7.90E-05,5.21E-05,3.33E-05,0.000166717,7.47E-05,0.00014,9.81E-05
k__Bacteria|p__Myxococcota|c__Polyangia|o__Nannocystales|f__Nannocystaceae|g__Enhygromyxa sp. SIS-1,6.18E-05,6.69E-05,4.25E-05,3.09E-05,8.77E-05,2.92E-05,0.000482541,0.000315325,0.000226374,0.00039041,0.000733246,0.000775816,0.000721912,0.000972068,0.000704405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__KD1-131|g__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10E-05,5.14E-05,1.69E-05,1.94E-05,2.37E-05,3.39E-05,2.98E-05,4.21E-05,1.10E-05,1.49E-05,3.87E-05,4.23E-05,0.00011658,3.57E-05,2.43E-05,0.000410162,0.000472919,0.00025971,0.000269347,0.000189159,0.000306076,0.000263703,0.000268208,0.000202405,2.87E-05,0.000111862,4.11E-05,0.000139549,0.000318218,0.000513257
k__Eukaryota|p__Discosea|c__Tubulinea|o__Nolandida|f__Nolandellidae|g__Nolandellidae_X,0,3.04E-06,4.21E-06,6.07E-05,5.61E-05,4.81E-05,0.000120344,0.00010404,7.06E-05,0.000295782,0.000290263,0.000247541,0.000129218,7.52E-05,0.000331108,1.18E-06,0,0,0,7.49E-06,0,0,0,0,0,0,0,0,0,0,1.22E-05,0,6.17E-06,5.41E-05,6.91E-05,9.02E-05,0.000207883,0.000325074,0.000181862,0.0001006,0.0001209,0.0001227,3.22E-05,2.10E-05,3.53E-05,4.09E-06,0,0,2.80E-05,6.41E-05,0,0,1.74E-05,1.47E-05,0,1.43E-05,0.0001143,6.11E-05,1.60E-05,0.0001062
k__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Candidatus Woesebacteria|f__|g__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06E-05,0.00011153,0.0001014,0.0001662,1.94E-05,0.0001248,0.00012491,0.00017946,0.00012149,0.0002109,0.0002907,0.0001335,4.94E-05,0.00016318,0.00014724,0.00015066,0.00010865,0.00010537,0.000315749,0.00022155,0.000283061,0.0001187,0.000349636,0.0002691,0.0001549,0.0002455,0.0001722,0.00014903,0.00012479,0.00011581
k__Bacteria|p__Zixibacteria|c__|o__|f__|g__,0,6.37E-06,0,6.87E-06,1.43E-05,6.56E-05,1.71E-05,3.28E-05,1.75E-05,2.76E-05,6.58E-05,3.05E-05,2.15E-05,3.15E-05,0,3.01E-05,0,0,0,0,0,0,0,0,0,9.21E-06,0,0,0,2.96E-05,8.26E-05,6.41E-05,5.40E-05,0.000132012,0.000154237,0.000192649,0.000111741,0.000390592,0.000255973,0.000323387,0.000390167,0.000194778,7.75E-05,0.000185753,0.000222229,0.000116651,0.00010546,9.07E-05,0.000136949,5.62E-05,7.85E-05,6.13E-05,8.34E-05,5.65E-05,0.000114533,5.04E-05,1.42E-05,6.42E-05,7.15E-05,0.000143984
k__Eukaryota|p__Fungi|c__Blastocladiomycota|o__Blastocladiomycotina|f__Blastocladiomycetes|g__Blastocladiomycota_XX,0.0001509,0.000243605,0.000583537,8.89E-06,3.38E-06,2.72E-05,1.65E-05,2.17E-05,5.96E-05,0.000143296,0.00049346,8.05E-05,8.78E-05,0.000217783,0.00019561,5.42E-05,2.79E-05,6.21E-06,4.75E-05,3.92E-05,2.35E-05,2.16E-05,5.32E-05,4.22E-05,2.49E-05,4.08E-05,2.96E-05,7.28E-05,3.60E-05,1.40E-05,6.22E-05,0,5.50E-05,0.000152631,0.0001121,4.76E-05,0.00024221,0.000294602,5.75E-05,0.000900959,0.000232912,0.000227281,0,1.87E-05,0,4.98E-05,8.22E-06,4.66E-05,0,3.62E-05,2.08E-05,2.34E-05,4.72E-05,0,4.30E-05,0,0,4.34E-05,0,0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__,4.23E-05,4.17E-05,2.63E-05,6.90E-05,6.31E-05,6.54E-05,3.98E-05,1.37E-05,2.94E-05,3.07E-05,3.03E-05,7.19E-05,5.13E-05,3.12E-05,5.78E-05,6.66E-06,1.66E-05,0,9.11E-06,2.13E-05,0,3.17E-06,1.66E-05,6.85E-06,2.71E-06,0,0,2.62E-05,2.08E-05,8.64E-06,0.000122,6.69E-05,5.48E-05,0.0001053,9.89E-05,0.0001255,2.54E-05,0.000180072,0.000162999,0.0001088,9.96E-05,0.0001362,0.00020199,0.0001488,0.0001352,1.87E-05,0,3.44E-05,6.59E-05,0.000152435,6.11E-05,1.71E-05,3.75E-05,5.25E-05,2.05E-05,1.17E-05,6.40E-05,0.0001491,0.000166,9.35E-05
k__Eukaryota|p__Amoebozoa_X|c__Variosea|o__Variosea_X|f__Schizoplasmodiids|g__Schizoplasmodium,2.99E-05,2.29E-05,2.81E-05,0.000180382,0.0001459,0.000294953,0.000349382,0.0001654,0.000203553,0.000530252,0.000497594,0.0004119,0.000176887,7.07E-05,0.0001519,2.89E-06,1.28E-05,3.90E-06,0,0,1.37E-06,0,1.24E-05,0,0,1.50E-05,0,0,2.18E-05,0,3.05E-05,1.04E-05,2.51E-05,3.99E-05,9.01E-05,0.000109205,0.00012882,5.11E-05,3.99E-05,9.11E-05,4.96E-05,0,1.38E-05,3.39E-05,5.39E-05,0,1.93E-05,3.66E-05,1.88E-05,0,8.17E-06,1.77E-05,6.05E-06,3.49E-05,3.46E-05,5.38E-05,4.53E-05,0,3.57E-05,3.33E-05
k__Eukaryota|p__Ciliophora|c__Colpodea|o__Colpodea_X|f__Bursariomorphida|g__Bryometopus,0.000267598,0.000198567,0.0001941,0.00014925,0.000150252,0.000211382,0.0001341,0.0001239,9.26E-05,8.55E-05,6.59E-05,2.34E-05,0.000232144,0.0001137,0.000229827,0.000223812,0.000245944,0.000298036,0.0001986,0.000198655,0.0001656,0.000124695,0.000165242,0.0001701,0.0001074,5.99E-05,0.0001221,0.000460515,0.000368836,0.000356445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Eukaryota|p__Cercozoa|c__Filosa-Imbricatea|o__Spongomonadida|f__Spongomonadidae|g__Spongomonas,1.12E-05,5.19E-05,5.62E-05,4.22E-05,1.19E-05,5.10E-05,7.03E-05,4.27E-05,3.50E-05,1.14E-05,2.87E-06,1.72E-05,5.81E-05,2.11E-05,4.85E-05,5.11E-06,0,0,0,2.78E-05,0,0,0,7.57E-06,0,0,0,0,0,0,0.0001144,0.0001635,0.000134,0.000229011,9.43E-05,6.46E-05,2.53E-05,9.42E-05,5.55E-05,0.000180375,0.000122288,0.0001151,0,6.31E-05,9.75E-05,1.59E-05,3.58E-05,0.0001164,0.000185177,0.000140808,9.52E-05,5.77E-05,6.70E-05,8.70E-05,0.0001182,0.000156065,0.000333565,5.18E-05,0,1.74E-05
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97E-05,3.40E-05,0.000814867,1.45E-05,0,4.61E-05,7.35E-05,4.47E-05,3.71E-05,6.88E-05,1.42E-05,6.29E-05,0.0001102,0.00012049,0.0001136,3.60E-05,4.38E-05,9.58E-06,0,0,5.38E-05,4.43E-05,5.51E-05,4.61E-05,0.0001061,8.02E-05,4.90E-05,0.000277464,0.000420034,0.000340941
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylomonadaceae|g__IheB2-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__MSBL5|f__|g__,0.000126856,0.0001047,5.11E-05,0.000241855,0.000419578,0.000318699,0.0001955,0.00010879,0.00010447,0.0001364,0.0001805,0.0001073,0.000152207,0.000213099,0.00014,7.55E-06,2.34E-05,0,5.04E-05,3.56E-05,0,4.67E-05,5.89E-05,1.47E-05,3.18E-06,1.85E-05,0,8.05E-05,8.53E-05,1.67E-05,3.66E-05,5.75E-05,4.00E-05,5.64E-05,5.04E-06,2.74E-05,8.40E-06,0.0001303,0.0001109,8.19E-05,0.0001322,0.0001025,0.000256523,0.0001204,0.00017827,3.68E-05,8.36E-05,7.93E-06,1.07E-05,6.94E-05,4.92E-05,4.54E-05,4.42E-05,5.18E-05,3.75E-05,6.49E-05,4.39E-05,0.000153,0.0001289,7.31E-05
k__Eukaryota|p__Cercozoa|c__Filosa-Thecofilosea|o__Ventricleftida|f__Ventrifissuridae|g__Ventrifissuridae_X,1.36E-05,2.93E-05,2.62E-05,0.000192503,0.000170053,0.000291635,0.000295449,0.000350965,0.000272656,0.000348648,0.000274774,0.000273985,0.000311183,0.000331556,0.000299783,6.13E-05,2.17E-05,8.17E-06,1.10E-05,6.78E-05,3.70E-05,4.22E-05,2.72E-05,6.42E-06,2.86E-05,4.30E-05,9.93E-06,2.46E-05,4.44E-05,5.86E-05,3.29E-05,2.63E-05,4.77E-05,0,4.42E-05,0,4.90E-05,1.17E-05,0,4.16E-05,7.40E-05,1.17E-05,3.32E-05,3.22E-05,6.54E-05,6.19E-05,3.71E-05,8.01E-05,8.39E-05,6.94E-05,8.67E-05,4.13E-06,0.000149362,0.000123536,7.59E-05,8.80E-05,8.47E-05,0,3.03E-05,6.28E-05
k__Eukaryota|p__Apusozoa_X|c__Apusomonadidae_Group-4|o__Apusomonadidae_Group-4_X|f__Apusomonadidae_Group-4_XX|g__Collodictyon,9.08E-05,6.06E-05,9.41E-05,8.85E-05,5.57E-05,2.31E-05,1.81E-05,1.91E-05,4.79E-05,4.81E-06,1.91E-05,7.82E-06,3.57E-06,7.26E-05,7.79E-06,7.60E-05,8.20E-05,0.0001544,0.000148,0.0001593,0.000104,0.0001523,8.32E-05,0.000104423,6.17E-05,0.000136898,9.78E-05,0.0001732,0.000193249,9.71E-05,4.62E-05,2.39E-05,7.02E-05,0.000221251,0.000323945,0.000382549,5.32E-05,4.61E-05,0.000138236,4.36E-05,9.13E-05,6.98E-05,5.89E-05,3.35E-05,3.49E-05,4.89E-05,6.94E-05,2.99E-05,0.000117523,8.44E-05,6.20E-05,7.96E-05,8.23E-05,0.000107475,0.000121338,0.000242836,0.000260966,4.74E-06,3.25E-05,4.62E-05
k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Arcobacteraceae|g__Pseudarcobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27E-06,4.61E-05,5.64E-05,9.43E-05,0.000259191,0.000223729,0.000176801,0,0,0,0,0,3.78E-06,2.16E-05,0,0,0.000359702,0.000346547,0.000146872,0.001491911,0.001035979,0.001193195
k__Bacteria|p__Firmicutes|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77E-05,1.35E-05,9.19E-05,0.0001713,0.00015938,0.00011142,0.0001421,0.0001346,0.000269248,0.000167741,0.000282754,0.0002248,0.000351415,0.000413355,0.000362365,8.82E-05,8.43E-05,6.27E-05,0.00016598,0,0.0001665,0.00010039,4.74E-05,5.93E-05,0.0002431,0.000436408,0.0002221,0.0002153,0.000325528,0.0002373
k__Bacteria|p__Bacteroidota|c__Ignavibacteria|o__Ignavibacteriales|f__PHOS-HE36|g__,4.73E-05,5.65E-05,3.93E-05,0.000292268,0.000296276,0.000250893,0.00014779,0.0002047,0.00013101,0.000244199,0.00011222,0.0001389,0.0001676,0.000271,0.0002042,2.34E-05,6.74E-06,1.10E-05,7.58E-06,4.18E-05,3.85E-05,1.64E-06,7.42E-06,6.55E-06,1.69E-05,1.55E-05,7.76E-06,1.94E-06,2.00E-05,1.45E-05,3.42E-05,6.57E-05,4.29E-05,0,1.00E-05,3.34E-05,1.94E-05,7.84E-05,0.000102109,8.09E-05,3.05E-05,4.96E-05,1.08E-05,1.11E-05,3.68E-05,0,0,6.68E-06,2.82E-05,0,2.64E-05,4.97E-05,0,0,7.85E-06,8.54E-06,0,0,0,2.45E-05
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rubellimicrobium,0,0,6.42E-06,8.80E-05,1.53E-05,2.27E-05,3.75E-05,3.67E-05,7.78E-05,9.93E-05,5.53E-05,6.57E-05,7.12E-05,4.18E-05,6.80E-05,0,0,0,0,0,0,0,7.42E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Eukaryota|p__Oomycota|c__Oomycota|o__Oomycota_X|f__Haliphthorales|g__Haliphthoros,0.000423151,0.000361734,0.000456148,0.000185318,8.98E-05,0.000183054,0.000195096,0.000197674,0.000108386,0.000187646,0.000143374,8.82E-05,4.87E-05,8.62E-05,0.00013379,0.000169376,0.000247508,0.000171735,0.00012372,0.000251553,0.000306005,0.000147548,7.17E-05,0.000364334,3.98E-05,0.000253399,0.000154161,9.60E-05,5.25E-05,8.08E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae|g__Subgroup 23,1.87E-05,1.20E-05,1.21E-05,0.000117567,0.000109715,0.00010497,5.46E-05,6.95E-05,5.29E-05,7.41E-05,3.41E-05,3.51E-05,5.36E-05,4.48E-05,5.69E-05,7.41E-07,8.83E-06,1.02E-05,0,0,6.65E-07,1.79E-06,0,4.75E-06,2.89E-06,4.15E-06,3.12E-06,1.44E-05,1.59E-06,7.47E-06,4.19E-05,4.71E-05,4.21E-05,0.0001043,0.000270868,4.37E-05,0.001009911,0.000147477,0.0001058,3.93E-05,7.03E-05,0.0001203,7.46E-05,0.0001141,3.06E-05,2.54E-05,3.17E-05,2.32E-05,4.47E-05,6.09E-05,4.39E-05,3.95E-05,0.00010622,5.25E-06,0,4.69E-05,5.68E-05,5.62E-05,5.17E-05,7.99E-05
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae|g__Tangfeifania,0.000330389,0.000223863,0.000259914,0.000200567,0.000160886,8.24E-05,9.07E-05,0.000123429,0.000107882,2.29E-05,8.76E-05,6.28E-05,0.000117629,9.58E-05,7.22E-05,0.000429439,0.000436888,0.000357708,0.000180345,0.000183264,0.000237961,0.000152337,0.000307441,0.000182881,0.00015631,7.28E-05,0.000124513,0.000182638,0.000167939,0.000158112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Mitochondria|g__Cladosiphon okamuranus,2.00E-05,3.83E-05,2.49E-05,3.20E-06,0,2.67E-05,2.31E-06,7.99E-06,4.90E-06,3.13E-06,1.90E-05,2.24E-05,1.20E-05,1.34E-05,1.47E-05,1.80E-06,8.36E-06,3.67E-06,2.64E-05,1.67E-05,2.70E-05,1.10E-05,3.44E-05,1.99E-06,3.03E-05,4.16E-05,2.63E-06,2.77E-05,0,3.86E-05,4.22E-05,6.05E-05,2.69E-05,8.42E-05,8.62E-05,0.0001201,5.84E-05,0.000141733,3.86E-05,3.21E-05,1.97E-05,2.58E-05,1.18E-05,1.75E-05,4.70E-05,9.64E-05,0.000234324,0.000174834,9.13E-05,0.000225233,0.000128703,7.16E-05,0.0001194,0.0001024,4.99E-05,2.26E-06,3.55E-05,4.01E-05,7.47E-06,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Sulfuricellaceae|g__Sulfuriferula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000368435,0.00027967,0.000398696,0.000105409,0.00015364,0.000158392,0.000357871,0.000309214,0.000410435,0.000125095,0.000244752,0.00024185,0.000313865,0.000329623,0.000258944,5.34E-05,4.07E-05,2.49E-05,6.65E-05,7.26E-05,3.72E-05,4.64E-05,9.38E-05,7.04E-05,0.000169034,4.40E-05,0.000126806,0.000174223,0.000113036,0.000166259
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae|g__Grimontia,0.000824915,0.000571056,0.000765745,0.000160325,9.69E-05,0.000150509,0.000124233,0.000142006,0.00015544,0.000121274,0.000109315,0.000136668,6.79E-05,0.000143049,6.16E-05,9.02E-05,0.000140226,9.71E-05,0.000185047,0.000104996,0.000133161,0.000157844,6.25E-05,4.91E-05,0.000100919,8.27E-05,9.82E-05,0.000122549,0.000251158,2.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Eukaryota|p__Metazoa|c__Arthropoda|o__Crustacea|f__Branchiopoda|g__Ceriodaphnia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.29E-06,4.40E-05,4.85E-05,0,1.20E-05,0.000104419,0,0,5.39E-05,3.07E-05,0,0,0,0.001031299,0.00036605,0.001086393,0.000237547,0,6.82E-05,1.26E-05,0,5.38E-05,0,3.32E-05,0,0,3.56E-05,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__Methylosinus trichosporium OB3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93E-05,5.79E-06,5.36E-06,1.77E-05,9.96E-06,2.27E-05,1.03E-05,2.26E-05,9.28E-05,0.000115284,2.13E-05,8.26E-05,0,1.62E-05,4.75E-05,0.000107135,0.00010659,7.96E-05,7.33E-05,0,0.000133304,4.03E-05,8.88E-05,4.71E-05,5.19E-05,7.26E-05,8.58E-05,4.85E-05,6.69E-05,8.42E-05
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Lobochlamys culleus|g__,0.000130902,0.000205091,0.000121654,5.52E-05,0,1.92E-05,2.79E-06,0,8.46E-06,0,0,5.26E-05,4.77E-06,4.79E-05,3.33E-05,1.87E-05,4.24E-05,2.05E-05,7.78E-05,3.09E-06,0,0,0,1.89E-05,0,1.23E-05,0,0,0,0,0.000853339,0.000478853,0.000259255,4.51E-05,3.88E-05,2.08E-05,0.000143101,0.000109982,0.000111837,0,8.97E-06,5.81E-05,0,0,7.24E-06,3.63E-05,1.74E-05,6.15E-05,3.41E-05,6.40E-05,1.03E-05,1.61E-05,5.94E-05,0,0,0,0,0,0,0
k__Bacteria|p__Verrucomicrobiota|c__Kiritimatiellae|o__Kiritimatiellales|f__Kiritimatiellaceae|g__MSBL3,8.04E-05,0.0001072,2.69E-05,0.000210529,0.000250917,0.00019827,9.58E-05,0.0001161,0.000113,3.29E-05,8.82E-05,0.0001153,7.34E-05,9.94E-05,2.54E-05,8.25E-05,6.38E-05,4.49E-05,3.62E-05,6.14E-05,5.42E-05,6.86E-05,9.14E-05,7.22E-05,5.32E-05,0.000101296,5.70E-05,7.56E-05,4.40E-05,5.80E-05,7.75E-06,6.62E-05,1.14E-05,4.22E-05,1.18E-05,4.18E-06,4.15E-05,5.50E-06,7.49E-05,6.30E-05,0.000104,2.50E-06,3.13E-05,3.09E-05,4.62E-05,0,1.06E-05,3.68E-06,5.30E-05,6.53E-06,8.25E-06,0,7.15E-06,0,3.03E-05,0,0,0,2.81E-05,8.68E-06
k__Eukaryota|p__Ciliophora|c__Phyllopharyngea|o__Suctoria|f__Ephelotidae|g__Ephelota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59E-05,8.46E-06,2.16E-06,9.37E-06,2.69E-05,0,0.00025567,0.003735017,0.000536519,1.82E-05,3.26E-05,4.79E-05,6.74E-05,5.85E-05,0.0001761,1.15E-05,6.41E-06,1.06E-05,3.27E-06,5.90E-06,0,4.39E-06,0,0,5.25E-05,1.39E-05,2.05E-05,7.88E-05,5.40E-05,2.42E-05
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Pleomorphomonadaceae|g__Chthonobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08E-05,7.59E-05,0.000102989,8.28E-05,0.00015732,0.000113457,2.41E-05,0.000116604,5.45E-05,0.00017363,0.000311247,5.81E-05,0.000212844,7.25E-05,0.000157706,0.00012441,0.000203691,0.000122043,0.00012844,0.000140843,0.000164612,0.000118395,4.95E-05,9.80E-05,0.000135153,0.000159487,0.000138521,0.000261525,0.000125985,0.000194345
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Bact-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111008,6.65E-05,7.78E-05,5.80E-05,8.76E-05,4.46E-05,2.41E-05,8.52E-05,2.52E-05,0.000133416,0.000308402,0.000381101,0.000374364,0.000244655,0.000350632,5.44E-05,0,2.70E-05,0,0,2.94E-05,1.74E-05,1.38E-05,1.85E-05,0.000157298,6.75E-05,0.000212346,4.77E-05,5.84E-05,0.000375311
k__Bacteria|p__Desulfobacterota|c__Desulfuromonadia|o__Geobacterales|f__Geobacteraceae|g__Trichlorobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001036,0.0001447,7.46E-05,0.000239196,0.0001234,0.00027209,0.000225292,0.000202412,0.000237493,0.00024601,0.000243587,0.000157451,0.000342111,0.000473997,0.000319519,7.12E-05,7.78E-05,8.95E-05,9.40E-05,0.000167096,9.23E-05,6.16E-05,5.12E-05,0.0001099,7.35E-05,0.000110212,6.83E-05,0.000348908,0.000199902,0.000232697
k__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Candidatus Pacebacteria|f__|g__,1.42E-05,2.50E-05,1.83E-05,2.25E-05,2.39E-05,3.58E-05,1.08E-05,5.21E-05,8.99E-07,1.19E-05,1.64E-05,1.93E-06,3.29E-05,3.39E-06,1.47E-05,5.28E-05,1.57E-05,5.71E-05,7.65E-06,3.09E-05,2.59E-05,1.72E-05,2.04E-05,2.80E-05,0,1.89E-05,1.49E-05,1.05E-05,0,8.35E-06,8.51E-05,7.69E-05,8.83E-05,4.93E-05,0.0001059,6.85E-05,0.0001211,0.0001479,0.0001089,0.00013547,0.0001813,9.45E-05,0.00010394,0.00014062,0.00016174,0.000117596,0.000158801,0.0001096,2.46E-05,0.000187799,0.000167,0.000106,2.72E-05,7.83E-05,0.00017091,0.0001519,0.00017152,1.70E-05,3.96E-05,5.10E-05
