,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,DW10,DW11,DW12,DW13,DW14,DW15,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,CW9,CW10,CW11,CW12,CW13,CW14,CW15
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella,0.005578921,0.004839326,0.006688386,0.004914923,0.004861623,0.005420687,0.004643418,0.004769033,0.003903155,0.005769523,0.004050055,0.004096946,0.004275586,0.004013504,0.004246756,0.004837475,0.003940839,0.004127338,0.005154182,0.005475761,0.005364101,0.004933376,0.005080408,0.005780587,0.005054589,0.00474304,0.004797981,0.004031279,0.004011162,0.004684351,0.004570289,0.005902838,0.005583503,0.004701733,0.006859082,0.005109979,0.007244017,0.005468027,0.006647598,0.007955863,0.00764961,0.008117745,0.008346886,0.009915288,0.008597222,0.003912396,0.004215124,0.003633656,0.004739354,0.005496809,0.004757212,0.004575174,0.004688322,0.004524512,0.007176225,0.007168456,0.007325204,0.007356383,0.008023945,0.009063393
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__Dechloromonas,0.002325261,0.003241629,0.003546636,0.002982144,0.002588751,0.002858987,0.001732336,0.00185495,0.001814645,0.002422377,0.001102899,0.001355227,0.00147388,0.001312107,0.002143102,0.00127009,0.00098221,0.001288846,0.001617885,0.001469655,0.001422881,0.000913867,0.001168645,0.001080368,0.001315068,0.001289498,0.00109198,0.001256958,0.001193303,0.001220085,0.007026919,0.007383527,0.0084714,0.003310627,0.011006023,0.005604835,0.011075514,0.003337989,0.003699344,0.009179111,0.010600045,0.010575648,0.01316349,0.017356574,0.012799166,0.002049994,0.002147096,0.002394327,0.003021486,0.002885843,0.002493279,0.004390978,0.003974688,0.004144027,0.009752119,0.010072735,0.009000283,0.016037904,0.014007799,0.0158214
k__Eukaryota|p__Streptophyta|c__Embryophyceae|o__Embryophyceae_X|f__Embryophyceae_XX|g__Oryza,0.005990425,0.006371639,0.005941038,0.003503215,0.003252121,0.00370021,0.005288684,0.005135884,0.004748828,0.002709689,0.011521732,0.005594363,0.004473615,0.003469255,0.005371596,0.006939925,0.006532812,0.006045091,0.00529714,0.006570834,0.006361183,0.00759616,0.006693682,0.005787086,0.006245653,0.006280925,0.005598064,0.005467891,0.005343288,0.005428591,0.009943508,0.009441933,0.006467133,0.008203215,0.008675039,0.005648027,0.005897993,0.013592094,0.007700791,0.005126693,0.004392949,0.00476538,0.001804667,0.002307044,0.002640562,0.004963992,0.004892848,0.005078384,0.004493816,0.004989391,0.004195855,0.003964326,0.004151588,0.004331032,0.003676745,0.003629959,0.003238362,0.00260013,0.002712025,0.00240374
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Synechococcales|f__Cyanobiaceae|g__Prochlorococcus MIT9313,0.000990043,0.000562565,0.000453955,0.000338197,0.0001627,0.000222963,0.000257729,0.000388323,0.000303205,0.000317424,0.00026748,0.000228548,0.00056517,0.00053853,0.000598177,0.000942992,0.000902498,0.000563096,0.000441334,0.000799833,0.000534649,0.000557394,0.00065334,0.00064598,0.000784814,0.000908233,0.001099702,0.000551068,0.000912517,0.001156216,0.00202907,0.002595754,0.002142079,0.002566766,0.002404395,0.00269229,0.000790769,0.001356044,0.001007169,0.001648292,0.0010852,0.001614362,0.000222865,0.00025973,0.000423112,0.002181977,0.002400474,0.002296457,0.001539294,0.001745503,0.002076525,0.001870262,0.001839301,0.00175227,0.000348322,0.000176199,0.000162351,0.000335116,0.000266777,0.000208086
k__Bacteria|p__Planctomycetota|c__Phycisphaerae|o__Phycisphaerales|f__Phycisphaeraceae|g__CL500-3,0.013041778,0.0139229,0.008085641,0.004590481,0.005206745,0.004167362,0.002734244,0.003025908,0.003238287,0.000696285,0.002171744,0.002566252,0.005359536,0.007303163,0.004669628,0.015078855,0.02052424,0.017403986,0.013144094,0.013808125,0.014635808,0.017522793,0.013142037,0.008979931,0.025152584,0.016104732,0.014405886,0.019770834,0.018441012,0.018717623,0.002314421,0.002059727,0.002355501,0.001229695,0.001026144,0.001824997,0.001141363,0.001732305,0.001581051,0.000802237,0.000815801,0.001369115,0.001741592,0.001221012,0.001253114,0.004806888,0.004048313,0.003939929,0.002822732,0.003296123,0.002521527,0.004029919,0.003474681,0.004059855,0.001654522,0.001921184,0.001834033,0.002154966,0.002427476,0.002487339
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas,0.003036359,0.0029179,0.003560856,0.003418987,0.003537575,0.003856079,0.002592309,0.002955732,0.002938638,0.002809391,0.002340472,0.00210535,0.002180809,0.002006504,0.002682839,0.002262684,0.002024877,0.001674763,0.001708652,0.001730357,0.001587294,0.001127395,0.00161957,0.001475018,0.001146807,0.001213484,0.001249539,0.001172712,0.001215448,0.001356618,0.0016389,0.001038447,0.003156023,0.002326542,0.001819427,0.002041309,0.001879192,0.001301007,0.001953801,0.008708727,0.007857509,0.005503182,0.006566086,0.007227164,0.008578495,0.001026275,0.000987141,0.001565484,0.001664352,0.001230648,0.001317809,0.001356402,0.001297204,0.00134441,0.010491211,0.009755395,0.009248144,0.01120039,0.010594647,0.010960374
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Arsenophonus,0.003391168,0.00341201,0.003854264,0.002769125,0.00227772,0.002742447,0.001318868,0.001541594,0.001510804,0.00173029,0.001306428,0.001321226,0.001111385,0.001398612,0.001380704,0.001695282,0.001234594,0.001150256,0.001740593,0.001101005,0.001517552,0.001242469,0.001655121,0.001101854,0.001734659,0.001733979,0.001558106,0.001269515,0.001764089,0.001596511,0.002859499,0.002433496,0.004097296,0.002189001,0.001831273,0.002014113,0.002937724,0.002066327,0.001756417,0.00144681,0.001321818,0.001719021,0.001893184,0.002185089,0.00240606,0.002107621,0.002429858,0.001952406,0.002349508,0.001806599,0.001852787,0.003566018,0.003323922,0.003861519,0.002076349,0.001927138,0.0017311,0.003010913,0.002811074,0.002811665
k__Eukaryota|p__Fungi|c__Ascomycota|o__Pezizomycotina|f__Leotiomycetes|g__Leotiomycetes_X,0.00397366,0.006662725,0.007618321,0.00196446,0.001550565,0.00296951,0.002509545,0.002135294,0.002099685,0.002769696,0.001685426,0.001657938,0.002767823,0.003142868,0.00448983,0.002165646,0.001305722,0.001964617,0.001552817,0.001415791,0.001711148,0.00159375,0.001110215,0.001666991,0.000792486,0.001002099,0.000948671,0.001471704,0.001414797,0.001430056,0.014337747,0.013565909,0.008131563,0.010254031,0.007983534,0.005422664,0.005108942,0.004916574,0.007127887,0.004687734,0.003963759,0.003531476,0.001624355,0.001894753,0.00142429,0.003947949,0.004165169,0.004844328,0.007262612,0.007889302,0.007810247,0.00348417,0.003234536,0.003744414,0.002149827,0.001965634,0.003080048,0.000801778,0.001511898,0.001348022
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__Pedosphaeraceae|g__,0.001501954,0.002570247,0.001722089,0.002970877,0.003317987,0.002645944,0.003331771,0.003069323,0.003568165,0.003801815,0.003694202,0.004254326,0.004029897,0.004445367,0.004353075,0.000700631,0.00073017,0.000764005,0.000758994,0.00103622,0.00075205,0.001016917,0.00076978,0.000612781,0.001031421,0.000613537,0.000677185,0.000977007,0.000624461,0.000826085,0.00620795,0.004594325,0.00443461,0.011067589,0.009049205,0.015833308,0.007943803,0.01420612,0.016015217,0.007849909,0.008926569,0.009308767,0.007273871,0.007956691,0.007152581,0.003947365,0.004003586,0.003313742,0.003337088,0.003678957,0.002897453,0.003405832,0.003464707,0.003575909,0.001924112,0.00190485,0.001916737,0.003709508,0.003332464,0.003186035
k__Bacteria|p__Bacteroidota|c__Kapabacteria|o__Kapabacteriales|f__|g__,0.002136258,0.001594208,0.001189692,0.001495848,0.001284816,0.001506902,0.002110392,0.00192884,0.001824825,0.001418801,0.002077348,0.001699343,0.002113914,0.00248091,0.001931372,0.003973787,0.003868504,0.004641675,0.006328662,0.007207032,0.006139385,0.006456456,0.006799913,0.00718976,0.006790619,0.006276185,0.007282737,0.004637415,0.005164626,0.005241138,0.003010353,0.002437101,0.004477649,0.002986886,0.002878254,0.003638525,0.003522443,0.003187457,0.003417316,0.002833183,0.00310891,0.003058188,0.002911688,0.00329978,0.002951048,0.007031223,0.007789691,0.007326557,0.008475503,0.008201503,0.008601221,0.007081972,0.007359628,0.007257947,0.002367968,0.002209004,0.002289647,0.003729824,0.004766898,0.00420256
