,Comparison,Taxa,Method,Group,LDA,P.unadj,P.adj,Significance
k__Eukaryota|p__Cryptophyta|p__Eukaryota_Cryptophyta|c__Cryptophyceae|o__Cryptomonadales|f__Cryptomonadales_X,PFU - Water,k__Eukaryota|p__Cryptophyta|p__Eukaryota_Cryptophyta|c__Cryptophyceae|o__Cryptomonadales|f__Cryptomonadales_X,LEfSe,Water,3.350379239,9.85E-06,8.73E-05,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__Peritrichia_2|f__Sessilida|g__Sessilida_X,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__Peritrichia_2|f__Sessilida|g__Sessilida_X,LEfSe,PFU,3.336299568,0.000136524,0.00083797,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Microsporidiomycota|o__Microsporidiomycotina|f__Microsporidiomycotina_X|g__Nosema|s__Nosema_bombycis,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Microsporidiomycota|o__Microsporidiomycotina|f__Microsporidiomycotina_X|g__Nosema|s__Nosema_bombycis,LEfSe,PFU,3.331749047,1.24E-06,1.50E-05,***
k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Kinetoplastea,PFU - Water,k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Kinetoplastea,LEfSe,PFU,3.32847289,2.71E-08,6.43E-07,***
k__Eukaryota|p__Fornicata,PFU - Water,k__Eukaryota|p__Fornicata,LEfSe,PFU,3.32834524,6.51E-06,6.34E-05,***
k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata,PFU - Water,k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata,LEfSe,PFU,3.32834524,6.51E-06,6.34E-05,***
k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X,PFU - Water,k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X,LEfSe,PFU,3.326973677,6.51E-06,6.34E-05,***
k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X|o__Diplomonadida,PFU - Water,k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X|o__Diplomonadida,LEfSe,PFU,3.326973677,6.51E-06,6.34E-05,***
k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X|o__Diplomonadida|f__Hexamitidae,PFU - Water,k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X|o__Diplomonadida|f__Hexamitidae,LEfSe,PFU,3.326973677,6.51E-06,6.34E-05,***
k__Bacteria|p__Myxococcota|p__Bacteria_Myxococcota|c__Polyangia,PFU - Water,k__Bacteria|p__Myxococcota|p__Bacteria_Myxococcota|c__Polyangia,LEfSe,PFU,3.326259274,4.91E-06,4.95E-05,***
k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X|o__Diplomonadida|f__Hexamitidae|g__Giardia,PFU - Water,k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X|o__Diplomonadida|f__Hexamitidae|g__Giardia,LEfSe,PFU,3.324518784,8.01E-06,7.50E-05,***
k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X|o__Diplomonadida|f__Hexamitidae|g__Giardia|s__Giardia_intestinalis,PFU - Water,k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X|o__Diplomonadida|f__Hexamitidae|g__Giardia|s__Giardia_intestinalis,LEfSe,PFU,3.324518784,8.01E-06,7.50E-05,***
k__Bacteria|p__Chloroflexi|p__Bacteria_Chloroflexi|c__Anaerolineae,PFU - Water,k__Bacteria|p__Chloroflexi|p__Bacteria_Chloroflexi|c__Anaerolineae,LEfSe,PFU,3.308461956,2.08E-06,2.30E-05,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__NS11-12 marine group,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__NS11-12 marine group,LEfSe,Water,3.307393892,1.69E-10,1.43E-08,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae,LEfSe,Water,3.287064376,3.06E-05,0.00023265,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Pezizomycotina,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Pezizomycotina,LEfSe,PFU,3.279746341,2.06E-05,0.000164738,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides,LEfSe,PFU,3.26773296,0.001268535,0.005438163,**
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Kapabacteria,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Kapabacteria,LEfSe,Water,3.263868036,4.37E-09,1.66E-07,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Kapabacteria|o__Kapabacteriales,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Kapabacteria|o__Kapabacteriales,LEfSe,Water,3.263868036,4.37E-09,1.66E-07,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae,LEfSe,PFU,3.260003998,0.001722657,0.006971304,**
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Arthropoda|o__Crustacea|f__Branchiopoda|g__Diaphanosoma,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Arthropoda|o__Crustacea|f__Branchiopoda|g__Diaphanosoma,LEfSe,Water,3.235747663,3.21E-08,7.42E-07,***
k__Bacteria|p__Chloroflexi|p__Bacteria_Chloroflexi|c__Anaerolineae|o__Anaerolineales,PFU - Water,k__Bacteria|p__Chloroflexi|p__Bacteria_Chloroflexi|c__Anaerolineae|o__Anaerolineales,LEfSe,PFU,3.235404018,1.67E-06,1.91E-05,***
k__Bacteria|p__Chloroflexi|p__Bacteria_Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae,PFU - Water,k__Bacteria|p__Chloroflexi|p__Bacteria_Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae,LEfSe,PFU,3.235404018,1.67E-06,1.91E-05,***
