,Comparison,Taxa,Method,Group,LDA,P.unadj,P.adj,Significance
k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Cercozoa_X,PFU - Water,k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Cercozoa_X,LEfSe,PFU,1.976614039,0.000783161,0.003550813,**
k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Cercozoa_X|o__Cercozoa_XX,PFU - Water,k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Cercozoa_X|o__Cercozoa_XX,LEfSe,PFU,1.976614039,0.000783161,0.003550813,**
k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Cercozoa_X|o__Cercozoa_XX|f__Cercozoa_XXX,PFU - Water,k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Cercozoa_X|o__Cercozoa_XX|f__Cercozoa_XXX,LEfSe,PFU,1.976614039,0.000783161,0.003550813,**
k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Cercozoa_X|o__Cercozoa_XX|f__Cercozoa_XXX|g__Cercozoa_XXXX,PFU - Water,k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Cercozoa_X|o__Cercozoa_XX|f__Cercozoa_XXX|g__Cercozoa_XXXX,LEfSe,PFU,1.976614039,0.000783161,0.003550813,**
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Hypotrichia|f__Urostylidae|g__Uroleptus,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Hypotrichia|f__Urostylidae|g__Uroleptus,LEfSe,PFU,1.974300001,1.55E-06,1.81E-05,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Hypotrichia|f__Urostylidae|g__Uroleptus|s__Uroleptus_gallina,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Hypotrichia|f__Urostylidae|g__Uroleptus|s__Uroleptus_gallina,LEfSe,PFU,1.974300001,1.55E-06,1.81E-05,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Pezizomycotina|f__Leotiomycetes|g__Gremmeniella,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Pezizomycotina|f__Leotiomycetes|g__Gremmeniella,LEfSe,PFU,1.974223349,1.51E-05,0.00012547,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Pezizomycotina|f__Leotiomycetes|g__Gremmeniella|s__Gremmeniella_pinicola,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Pezizomycotina|f__Leotiomycetes|g__Gremmeniella|s__Gremmeniella_pinicola,LEfSe,PFU,1.974223349,1.51E-05,0.00012547,***
k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Clostridia|o__Monoglobales,PFU - Water,k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Clostridia|o__Monoglobales,LEfSe,Water,1.965029619,6.26E-08,1.24E-06,***
k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Clostridia|o__Monoglobales|f__Monoglobaceae,PFU - Water,k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Clostridia|o__Monoglobales|f__Monoglobaceae,LEfSe,Water,1.965029619,6.26E-08,1.24E-06,***
k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Clostridia|o__Monoglobales|f__Monoglobaceae|g__Monoglobus,PFU - Water,k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Clostridia|o__Monoglobales|f__Monoglobaceae|g__Monoglobus,LEfSe,Water,1.965029619,6.26E-08,1.24E-06,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__MAST-12|o__MAST-12C,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__MAST-12|o__MAST-12C,LEfSe,Water,1.96437045,7.43E-05,0.00050267,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__MAST-12|o__MAST-12C|f__MAST-12C_X,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__MAST-12|o__MAST-12C|f__MAST-12C_X,LEfSe,Water,1.96437045,7.43E-05,0.00050267,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__MAST-12|o__MAST-12C|f__MAST-12C_X|g__MAST-12C_XX,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__MAST-12|o__MAST-12C|f__MAST-12C_X|g__MAST-12C_XX,LEfSe,Water,1.96437045,7.43E-05,0.00050267,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Basidiomycota|o__Agaricomycotina|f__Agaricomycetes|g__Psathyrella|s__Psathyrella_tephrophylla,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Basidiomycota|o__Agaricomycotina|f__Agaricomycetes|g__Psathyrella|s__Psathyrella_tephrophylla,LEfSe,PFU,1.963432356,2.47E-05,0.000195592,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Basidiomycota|o__Pucciniomycotina,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Basidiomycota|o__Pucciniomycotina,LEfSe,PFU,1.962899406,8.59E-05,0.000563015,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Basidiomycota|o__Pucciniomycotina|f__Pucciniomycotina_X,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Basidiomycota|o__Pucciniomycotina|f__Pucciniomycotina_X,LEfSe,PFU,1.962899406,8.59E-05,0.000563015,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Basidiomycota|o__Pucciniomycotina|f__Pucciniomycotina_X|g__Pucciniomycotina_XX,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Basidiomycota|o__Pucciniomycotina|f__Pucciniomycotina_X|g__Pucciniomycotina_XX,LEfSe,PFU,1.962899406,8.59E-05,0.000563015,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__|g__Phreatobacter,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__|g__Phreatobacter,LEfSe,PFU,1.954957851,9.85E-06,8.73E-05,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Blastocladiomycota,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Blastocladiomycota,LEfSe,PFU,1.951669448,1.38E-05,0.000115611,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Blastocladiomycota|o__Blastocladiomycotina,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Blastocladiomycota|o__Blastocladiomycotina,LEfSe,PFU,1.951669448,1.38E-05,0.000115611,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Blastocladiomycota|o__Blastocladiomycotina|f__Blastocladiomycetes,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Blastocladiomycota|o__Blastocladiomycotina|f__Blastocladiomycetes,LEfSe,PFU,1.951669448,1.38E-05,0.000115611,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter,LEfSe,PFU,1.947086895,1.44E-08,3.89E-07,***
k__Archaea|p__Nanoarchaeota|p__Archaea_Nanoarchaeota|c__Nanoarchaeia|o__Woesearchaeales|f__GW2011_GWC1_47_15,PFU - Water,k__Archaea|p__Nanoarchaeota|p__Archaea_Nanoarchaeota|c__Nanoarchaeia|o__Woesearchaeales|f__GW2011_GWC1_47_15,LEfSe,PFU,1.946497266,0.000637347,0.002991253,**
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia,LEfSe,PFU,1.943895532,8.01E-08,1.53E-06,***
k__Eukaryota|p__Chlorophyta|p__Eukaryota_Chlorophyta|c__Trebouxiophyceae|o__Watanabea-Clade,PFU - Water,k__Eukaryota|p__Chlorophyta|p__Eukaryota_Chlorophyta|c__Trebouxiophyceae|o__Watanabea-Clade,LEfSe,PFU,1.942057354,1.24E-06,1.50E-05,***
k__Eukaryota|p__Chlorophyta|p__Eukaryota_Chlorophyta|c__Trebouxiophyceae|o__Watanabea-Clade|f__Watanabea-Clade_X,PFU - Water,k__Eukaryota|p__Chlorophyta|p__Eukaryota_Chlorophyta|c__Trebouxiophyceae|o__Watanabea-Clade|f__Watanabea-Clade_X,LEfSe,PFU,1.942057354,1.24E-06,1.50E-05,***
k__Eukaryota|p__Chlorophyta|p__Eukaryota_Chlorophyta|c__Trebouxiophyceae|o__Watanabea-Clade|f__Watanabea-Clade_X|g__Chloroidium,PFU - Water,k__Eukaryota|p__Chlorophyta|p__Eukaryota_Chlorophyta|c__Trebouxiophyceae|o__Watanabea-Clade|f__Watanabea-Clade_X|g__Chloroidium,LEfSe,PFU,1.942057354,1.24E-06,1.50E-05,***
k__Eukaryota|p__Chlorophyta|p__Eukaryota_Chlorophyta|c__Trebouxiophyceae|o__Watanabea-Clade|f__Watanabea-Clade_X|g__Chloroidium|s__Chloroidium_ellipsoideum,PFU - Water,k__Eukaryota|p__Chlorophyta|p__Eukaryota_Chlorophyta|c__Trebouxiophyceae|o__Watanabea-Clade|f__Watanabea-Clade_X|g__Chloroidium|s__Chloroidium_ellipsoideum,LEfSe,PFU,1.942057354,1.24E-06,1.50E-05,***
k__Bacteria|p__Planctomycetota|p__Bacteria_Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Schlesneriaceae,PFU - Water,k__Bacteria|p__Planctomycetota|p__Bacteria_Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Schlesneriaceae,LEfSe,PFU,1.93916267,3.39E-07,5.09E-06,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Pseudodendromonadales|f__Pseudodendromonadales_X|g__Pseudodendromonadales_XX,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Pseudodendromonadales|f__Pseudodendromonadales_X|g__Pseudodendromonadales_XX,LEfSe,Water,1.938352175,0.000179168,0.001051391,**
k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Imbricatea|o__Euglyphida|f__Euglyphida_X,PFU - Water,k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Imbricatea|o__Euglyphida|f__Euglyphida_X,LEfSe,Water,1.92973729,4.86E-11,6.36E-09,***
k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Imbricatea|o__Euglyphida|f__Euglyphida_X|g__Euglyphida_XX,PFU - Water,k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Imbricatea|o__Euglyphida|f__Euglyphida_X|g__Euglyphida_XX,LEfSe,Water,1.92973729,4.86E-11,6.36E-09,***
k__Bacteria|p__Patescibacteria|p__Bacteria_Patescibacteria|c__Gracilibacteria|o__JGI 0000069-P22,PFU - Water,k__Bacteria|p__Patescibacteria|p__Bacteria_Patescibacteria|c__Gracilibacteria|o__JGI 0000069-P22,LEfSe,PFU,1.928122912,0.001401589,0.005827173,**
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acidisphaera,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acidisphaera,LEfSe,PFU,1.928013866,8.01E-06,7.50E-05,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bacillariophyta|o__Bacillariophyta_X|f__Raphid-pennate|g__Gomphonema,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bacillariophyta|o__Bacillariophyta_X|f__Raphid-pennate|g__Gomphonema,LEfSe,PFU,1.924505112,3.38E-07,5.09E-06,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bacillariophyta|o__Bacillariophyta_X|f__Raphid-pennate|g__Gomphonema|s__Gomphonema_parvulum,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bacillariophyta|o__Bacillariophyta_X|f__Raphid-pennate|g__Gomphonema|s__Gomphonema_parvulum,LEfSe,PFU,1.924505112,3.38E-07,5.09E-06,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae,LEfSe,Water,1.924037625,0.000387782,0.002056505,**
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Hyphomonadaceae|g__Hirschia,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Hyphomonadaceae|g__Hirschia,LEfSe,PFU,1.923498589,1.93E-08,5.01E-07,***
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Arthropoda|o__Crustacea|f__Ostracoda|g__Ilyocypris,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Arthropoda|o__Crustacea|f__Ostracoda|g__Ilyocypris,LEfSe,PFU,1.918564677,9.41E-05,0.000606589,***
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Arthropoda|o__Crustacea|f__Ostracoda|g__Ilyocypris|s__Ilyocypris_japonica,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Arthropoda|o__Crustacea|f__Ostracoda|g__Ilyocypris|s__Ilyocypris_japonica,LEfSe,PFU,1.918564677,9.41E-05,0.000606589,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Sulfuricellaceae,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Sulfuricellaceae,LEfSe,PFU,1.916755522,1.36E-08,3.71E-07,***
k__Bacteria|p__Patescibacteria|p__Bacteria_Patescibacteria|c__Gracilibacteria|o__Absconditabacteriales (SR1),PFU - Water,k__Bacteria|p__Patescibacteria|p__Bacteria_Patescibacteria|c__Gracilibacteria|o__Absconditabacteriales (SR1),LEfSe,PFU,1.907376104,8.93E-05,0.00058067,***
k__Bacteria|p__Dependentiae|p__Bacteria_Dependentiae|c__Babeliae|o__Babeliales|f__UBA12411,PFU - Water,k__Bacteria|p__Dependentiae|p__Bacteria_Dependentiae|c__Babeliae|o__Babeliales|f__UBA12411,LEfSe,PFU,1.90711707,7.26E-06,7.00E-05,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Strombidiida,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Strombidiida,LEfSe,Water,1.906010769,0.000541068,0.002685231,**
k__Bacteria|p__Myxococcota|p__Bacteria_Myxococcota|c__Myxococcia|o__Myxococcales|f__Myxococcaceae|g__P3OB-42,PFU - Water,k__Bacteria|p__Myxococcota|p__Bacteria_Myxococcota|c__Myxococcia|o__Myxococcales|f__Myxococcaceae|g__P3OB-42,LEfSe,PFU,1.901511341,0.000144931,0.000874949,***
k__Bacteria|p__Bdellovibrionota|p__Bacteria_Bdellovibrionota|c__Oligoflexia|o__0319-6G20|f__Bdellovibrionales bacterium GWC1_52_8,PFU - Water,k__Bacteria|p__Bdellovibrionota|p__Bacteria_Bdellovibrionota|c__Oligoflexia|o__0319-6G20|f__Bdellovibrionales bacterium GWC1_52_8,LEfSe,Water,1.897616262,0.000206531,0.001197609,**
k__Bacteria|p__Bdellovibrionota|p__Bacteria_Bdellovibrionota|c__Oligoflexia|o__0319-6G20|f__Bdellovibrionales bacterium GWC1_52_8|g__Bdellovibrionales bacterium GWC1_52_8_X sp.,PFU - Water,k__Bacteria|p__Bdellovibrionota|p__Bacteria_Bdellovibrionota|c__Oligoflexia|o__0319-6G20|f__Bdellovibrionales bacterium GWC1_52_8|g__Bdellovibrionales bacterium GWC1_52_8_X sp.,LEfSe,Water,1.897616262,0.000206531,0.001197609,**
k__Archaea|p__Thermoplasmatota,PFU - Water,k__Archaea|p__Thermoplasmatota,LEfSe,PFU,1.896523338,2.40E-06,2.60E-05,***
k__Archaea|p__Thermoplasmatota|p__Archaea_Thermoplasmatota,PFU - Water,k__Archaea|p__Thermoplasmatota|p__Archaea_Thermoplasmatota,LEfSe,PFU,1.896523338,2.40E-06,2.60E-05,***
k__Archaea|p__Thermoplasmatota|p__Archaea_Thermoplasmatota|c__Thermoplasmata,PFU - Water,k__Archaea|p__Thermoplasmatota|p__Archaea_Thermoplasmatota|c__Thermoplasmata,LEfSe,PFU,1.896523338,2.40E-06,2.60E-05,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Litostomatea|o__Haptoria_5|f__Pleurostomatida|g__Hemiophrys,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Litostomatea|o__Haptoria_5|f__Pleurostomatida|g__Hemiophrys,LEfSe,PFU,1.890521854,8.38E-07,1.10E-05,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Pezizomycotina|f__Dothideomycetes|g__Scolicosporium,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Pezizomycotina|f__Dothideomycetes|g__Scolicosporium,LEfSe,PFU,1.887996941,6.77E-09,2.40E-07,***
k__Eukaryota|p__Opisthokonta_X|p__Eukaryota_Opisthokonta_X|c__Opisthokonta_XX,PFU - Water,k__Eukaryota|p__Opisthokonta_X|p__Eukaryota_Opisthokonta_X|c__Opisthokonta_XX,LEfSe,PFU,1.88609879,1.80E-07,2.98E-06,***
k__Eukaryota|p__Opisthokonta_X|p__Eukaryota_Opisthokonta_X|c__Opisthokonta_XX|o__Opisthokonta_XXX,PFU - Water,k__Eukaryota|p__Opisthokonta_X|p__Eukaryota_Opisthokonta_X|c__Opisthokonta_XX|o__Opisthokonta_XXX,LEfSe,PFU,1.88609879,1.80E-07,2.98E-06,***
k__Eukaryota|p__Opisthokonta_X|p__Eukaryota_Opisthokonta_X|c__Opisthokonta_XX|o__Opisthokonta_XXX|f__Opisthokonta_XXXX,PFU - Water,k__Eukaryota|p__Opisthokonta_X|p__Eukaryota_Opisthokonta_X|c__Opisthokonta_XX|o__Opisthokonta_XXX|f__Opisthokonta_XXXX,LEfSe,PFU,1.88609879,1.80E-07,2.98E-06,***
k__Eukaryota|p__Opisthokonta_X|p__Eukaryota_Opisthokonta_X|c__Opisthokonta_XX|o__Opisthokonta_XXX|f__Opisthokonta_XXXX|g__Opisthokonta_XXXXX,PFU - Water,k__Eukaryota|p__Opisthokonta_X|p__Eukaryota_Opisthokonta_X|c__Opisthokonta_XX|o__Opisthokonta_XXX|f__Opisthokonta_XXXX|g__Opisthokonta_XXXXX,LEfSe,PFU,1.88609879,1.80E-07,2.98E-06,***
k__Bacteria|p__Deferrisomatota|p__Bacteria_Deferrisomatota|c__Defferrisomatia,PFU - Water,k__Bacteria|p__Deferrisomatota|p__Bacteria_Deferrisomatota|c__Defferrisomatia,LEfSe,PFU,1.879542469,1.20E-07,2.18E-06,***
k__Bacteria|p__Deferrisomatota|p__Bacteria_Deferrisomatota|c__Defferrisomatia|o__Defferrisomatales,PFU - Water,k__Bacteria|p__Deferrisomatota|p__Bacteria_Deferrisomatota|c__Defferrisomatia|o__Defferrisomatales,LEfSe,PFU,1.879542469,1.20E-07,2.18E-06,***
k__Bacteria|p__Deferrisomatota|p__Bacteria_Deferrisomatota|c__Defferrisomatia|o__Defferrisomatales|f__Defferrisomataceae,PFU - Water,k__Bacteria|p__Deferrisomatota|p__Bacteria_Deferrisomatota|c__Defferrisomatia|o__Defferrisomatales|f__Defferrisomataceae,LEfSe,PFU,1.879542469,1.20E-07,2.18E-06,***
k__Bacteria|p__Deferrisomatota|p__Bacteria_Deferrisomatota|c__Defferrisomatia|o__Defferrisomatales|f__Defferrisomataceae|g__Deferrisoma,PFU - Water,k__Bacteria|p__Deferrisomatota|p__Bacteria_Deferrisomatota|c__Defferrisomatia|o__Defferrisomatales|f__Defferrisomataceae|g__Deferrisoma,LEfSe,PFU,1.879542469,1.20E-07,2.18E-06,***
k__Bacteria|p__Deferrisomatota,PFU - Water,k__Bacteria|p__Deferrisomatota,LEfSe,PFU,1.879542469,1.20E-07,2.18E-06,***
k__Bacteria|p__Deferrisomatota|p__Bacteria_Deferrisomatota,PFU - Water,k__Bacteria|p__Deferrisomatota|p__Bacteria_Deferrisomatota,LEfSe,PFU,1.879542469,1.20E-07,2.18E-06,***
k__Bacteria|p__Hydrogenedentes|p__Bacteria_Hydrogenedentes|c__Hydrogenedentia,PFU - Water,k__Bacteria|p__Hydrogenedentes|p__Bacteria_Hydrogenedentes|c__Hydrogenedentia,LEfSe,PFU,1.879165836,0.000113975,0.00070745,***
k__Bacteria|p__Hydrogenedentes|p__Bacteria_Hydrogenedentes|c__Hydrogenedentia|o__Hydrogenedentiales,PFU - Water,k__Bacteria|p__Hydrogenedentes|p__Bacteria_Hydrogenedentes|c__Hydrogenedentia|o__Hydrogenedentiales,LEfSe,PFU,1.879165836,0.000113975,0.00070745,***
k__Bacteria|p__Hydrogenedentes|p__Bacteria_Hydrogenedentes|c__Hydrogenedentia|o__Hydrogenedentiales|f__Hydrogenedensaceae,PFU - Water,k__Bacteria|p__Hydrogenedentes|p__Bacteria_Hydrogenedentes|c__Hydrogenedentia|o__Hydrogenedentiales|f__Hydrogenedensaceae,LEfSe,PFU,1.879165836,0.000113975,0.00070745,***
k__Bacteria|p__Hydrogenedentes,PFU - Water,k__Bacteria|p__Hydrogenedentes,LEfSe,PFU,1.879165836,0.000113975,0.00070745,***
k__Bacteria|p__Hydrogenedentes|p__Bacteria_Hydrogenedentes,PFU - Water,k__Bacteria|p__Hydrogenedentes|p__Bacteria_Hydrogenedentes,LEfSe,PFU,1.879165836,0.000113975,0.00070745,***
k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Lobosa_X|o__Himatismenida|f__Cochliopodiidae,PFU - Water,k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Lobosa_X|o__Himatismenida|f__Cochliopodiidae,LEfSe,PFU,1.865892852,0.001559843,0.006398423,**
k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Lobosa_X|o__Himatismenida|f__Cochliopodiidae|g__Cochliopodium,PFU - Water,k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Lobosa_X|o__Himatismenida|f__Cochliopodiidae|g__Cochliopodium,LEfSe,PFU,1.865892852,0.001559843,0.006398423,**
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Lentisphaeria|o__Victivallales,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Lentisphaeria|o__Victivallales,LEfSe,PFU,1.85996878,0.000163229,0.000961698,***
k__Bacteria|p__Dependentiae|p__Bacteria_Dependentiae|c__Babeliae|o__Babeliales|f__Vermiphilaceae,PFU - Water,k__Bacteria|p__Dependentiae|p__Bacteria_Dependentiae|c__Babeliae|o__Babeliales|f__Vermiphilaceae,LEfSe,PFU,1.859879833,2.06E-06,2.30E-05,***
k__Eukaryota|p__Chlorophyta|p__Eukaryota_Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Selenastraceae|g__Monoraphidium|s__Monoraphidium_terrestre,PFU - Water,k__Eukaryota|p__Chlorophyta|p__Eukaryota_Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Selenastraceae|g__Monoraphidium|s__Monoraphidium_terrestre,LEfSe,Water,1.859385706,0.000128578,0.000793619,***
k__Archaea|p__Nanoarchaeota|p__Archaea_Nanoarchaeota|c__Nanoarchaeia|o__Woesearchaeales|f__GW2011,PFU - Water,k__Archaea|p__Nanoarchaeota|p__Archaea_Nanoarchaeota|c__Nanoarchaeia|o__Woesearchaeales|f__GW2011,LEfSe,PFU,1.858832667,0.001479619,0.006116961,**
k__Archaea|p__Nanoarchaeota|p__Archaea_Nanoarchaeota|c__Nanoarchaeia|o__Woesearchaeales|f__GW2011|g__AR15,PFU - Water,k__Archaea|p__Nanoarchaeota|p__Archaea_Nanoarchaeota|c__Nanoarchaeia|o__Woesearchaeales|f__GW2011|g__AR15,LEfSe,PFU,1.858832667,0.001479619,0.006116961,**
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Candidatus Methylospira,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Candidatus Methylospira,LEfSe,PFU,1.851206097,2.10E-08,5.33E-07,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Novispirillum,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Novispirillum,LEfSe,PFU,1.848578503,6.16E-05,0.000429574,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Psychromonadaceae,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Psychromonadaceae,LEfSe,PFU,1.838432986,0.002103893,0.008263687,**
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Psychromonadaceae|g__Psychromonas,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Psychromonadaceae|g__Psychromonas,LEfSe,PFU,1.838432986,0.002103893,0.008263687,**
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Euplotia,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Euplotia,LEfSe,PFU,1.836250124,0.000138258,0.000845203,***
k__Eukaryota|p__Heterolobosea|p__Eukaryota_Heterolobosea|c__Heterolobosea,PFU - Water,k__Eukaryota|p__Heterolobosea|p__Eukaryota_Heterolobosea|c__Heterolobosea,LEfSe,PFU,1.836112954,0.000603187,0.002927582,**
