,Kingdom,Phylum1,Phylum,Class,Order,Family,Genus,Species
CJ_k141_31965,Bacteria,Cyanobacteria,Bacteria_Cyanobacteria,C__Cyanobacteriia,O__Cyanobacteriales,F__Microcystaceae,G__Microcystis PCC-7914,S__
CJ_k141_31979,Bacteria,Bacteroidota,Bacteria_Bacteroidota,C__Bacteroidia,O__Sphingobacteriales,F__Lentimicrobiaceae,G__uncultured bacterium,S__
CJ_k141_31990,Bacteria,Armatimonadota,Bacteria_Armatimonadota,C__Fimbriimonadia,O__Fimbriimonadales,F__Fimbriimonadaceae,G__uncultured bacterium,S__
CJ_k141_31995,Bacteria,Planctomycetota,Bacteria_Planctomycetota,C__Planctomycetes,O__Isosphaerales,F__Isosphaeraceae,G__uncultured,S__
CJ_k141_31997,Bacteria,Firmicutes,Bacteria_Firmicutes,C__Bacilli,O__Lactobacillales,F__Streptococcaceae,G__Streptococcus,S__
CJ_k141_32000,Bacteria,Sva0485,Bacteria_Sva0485,C__uncultured bacterium,O__uncultured bacterium_X,F__uncultured bacterium_XX,G__uncultured bacterium_XXX sp.,S__
CJ_k141_32011,Bacteria,Patescibacteria,Bacteria_Patescibacteria,C__Saccharimonadia,O__Saccharimonadales,F__uncultured bacterium,G__uncultured bacterium_X sp.,S__
CJ_k141_32035,Bacteria,Patescibacteria,Bacteria_Patescibacteria,C__Parcubacteria,O__Candidatus Kaiserbacteria,F__Parcubacteria bacterium OLB19,G__Parcubacteria bacterium OLB19_X sp.,S__
CJ_k141_32036,Bacteria,Actinobacteriota,Bacteria_Actinobacteriota,C__Thermoleophilia,O__Solirubrobacterales,F__Solirubrobacteraceae,G__Conexibacter,S__
CJ_k141_32055,Bacteria,Firmicutes,Bacteria_Firmicutes,C__Negativicutes,O__Veillonellales-Selenomonadales,F__Sporomusaceae,G__Anaerosinus,S__
CJ_k141_32067,Bacteria,Desulfobacterota,Bacteria_Desulfobacterota,C__Desulfovibrionia,O__Desulfovibrionales,F__Desulfovibrionaceae,G__Desulfovibrio,S__
CJ_k141_32070,Bacteria,Cyanobacteria,Bacteria_Cyanobacteria,C__Sericytochromatia,O__uncultured bacterium,F__uncultured bacterium_X,G__uncultured bacterium_XX sp.,S__
CJ_k141_32073,Bacteria,Patescibacteria,Bacteria_Patescibacteria,C__ABY1,O__Candidatus Magasanikbacteria,F__Candidatus Magasanikbacteria bacterium RIFOXYB1_FULL_40_15,G__Candidatus Magasanikbacteria bacterium RIFOXYB1_FULL_40_15_X sp.,S__
CJ_k141_32074,Bacteria,Firmicutes,Bacteria_Firmicutes,C__Bacilli,O__Exiguobacterales,F__Exiguobacteraceae,G__Exiguobacterium,S__
CJ_k141_32089,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Gammaproteobacteria,O__Enterobacterales,F__Enterobacteriaceae,G__Klebsiella,S__
CJ_k141_32092,Bacteria,Firmicutes,Bacteria_Firmicutes,C__Clostridia,O__Peptostreptococcales-Tissierellales,F__Peptostreptococcaceae,G__Romboutsia,S__
CJ_k141_32095,Bacteria,Chloroflexi,Bacteria_Chloroflexi,C__Dehalococcoidia,O__GIF9,F__uncultured bacterium,G__uncultured bacterium_X sp.,S__
CJ_k141_32097,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Alphaproteobacteria,O__Rickettsiales,F__Mitochondria,G__uncultured bacterium,S__
CJ_k141_3210,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Gammaproteobacteria,O__Enterobacterales,F__Vibrionaceae,G__Vibrio,S__
CJ_k141_32104,Bacteria,Cyanobacteria,Bacteria_Cyanobacteria,C__Cyanobacteriia,O__Chloroplast,F__Ankyra judayi,G__Ankyra judayi_X sp.,S__
CJ_k141_32119,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Alphaproteobacteria,O__Rickettsiales,F__Mitochondria,G__uncultured bacterium,S__
CJ_k141_32130,Bacteria,Actinobacteriota,Bacteria_Actinobacteriota,C__Actinobacteria,O__Propionibacteriales,F__Nocardioidaceae,G__Nocardioides,S__
CJ_k141_32141,Bacteria,Cyanobacteria,Bacteria_Cyanobacteria,C__Cyanobacteriia,O__Chloroplast,F__Gossypium barbadense (sea-island cotton),G__Gossypium barbadense (sea-island cotton)_X sp.,S__
CJ_k141_32152,Bacteria,Firmicutes,Bacteria_Firmicutes,C__Bacilli,O__Lactobacillales,F__Streptococcaceae,G__Streptococcus,S__
CJ_k141_32156,Bacteria,Actinobacteriota,Bacteria_Actinobacteriota,C__Acidimicrobiia,O__Microtrichales,F__uncultured,G__uncultured Acidimicrobiia bacterium,S__
CJ_k141_32164,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Alphaproteobacteria,O__Caulobacterales,F__Caulobacteraceae,G__Brevundimonas,S__
CJ_k141_32165,Bacteria,Desulfobacterota,Bacteria_Desulfobacterota,C__Desulfovibrionia,O__Desulfovibrionales,F__Desulfomicrobiaceae,G__Desulfomicrobium,S__
CJ_k141_32168,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Alphaproteobacteria,O__Rickettsiales,F__Mitochondria,G__Nitzschia alba (marine diatom),S__
CJ_k141_3218,Bacteria,Actinobacteriota,Bacteria_Actinobacteriota,C__Actinobacteria,O__Micrococcales,F__Microbacteriaceae,G__Leifsonia,S__
CJ_k141_32203,Bacteria,Elusimicrobiota,Bacteria_Elusimicrobiota,C__Endomicrobia,O__Endomicrobiales,F__Endomicrobiaceae,G__Endomicrobium,S__
CJ_k141_32212,Bacteria,Bacteroidota,Bacteria_Bacteroidota,C__Bacteroidia,O__Chitinophagales,F__Saprospiraceae,G__uncultured,S__
CJ_k141_32222,Bacteria,Bacteroidota,Bacteria_Bacteroidota,C__Bacteroidia,O__Flavobacteriales,F__Flavobacteriaceae,G__Myroides,S__
CJ_k141_32225,Bacteria,Firmicutes,Bacteria_Firmicutes,C__Bacilli,O__Mycoplasmatales,F__Mycoplasmataceae,G__Mycoplasma,S__
CJ_k141_32231,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Alphaproteobacteria,O__Rickettsiales,F__Mitochondria,G__Chlorella heliozoae,S__
CJ_k141_32237,Bacteria,Bacteroidota,Bacteria_Bacteroidota,C__Bacteroidia,O__Bacteroidales,F__Bacteroidaceae,G__Bacteroides,S__
CJ_k141_32242,Archaea,Nanoarchaeota,Archaea_Nanoarchaeota,C__Nanoarchaeia,O__Woesearchaeales,F__GW2011_GWC1_47_15,G__Candidatus Amesbacteria bacterium GW2011_GWC1_47_15,S__
CJ_k141_32243,Bacteria,Myxococcota,Bacteria_Myxococcota,C__Polyangia,O__Polyangiales,F__Sandaracinaceae,G__uncultured,S__
CJ_k141_32265,Bacteria,Elusimicrobiota,Bacteria_Elusimicrobiota,C__Endomicrobia,O__Endomicrobiales,F__Endomicrobiaceae,G__Endomicrobium,S__
CJ_k141_32276,Bacteria,Verrucomicrobiota,Bacteria_Verrucomicrobiota,C__Verrucomicrobiae,O__Pedosphaerales,F__Pedosphaeraceae,G__SH3-11,S__
CJ_k141_32303,Bacteria,Spirochaetota,Bacteria_Spirochaetota,C__Spirochaetia,O__Spirochaetales,F__Spirochaetaceae,G__Salinispira,S__
CJ_k141_32307,Archaea,Nanoarchaeota,Archaea_Nanoarchaeota,C__Nanoarchaeia,O__Woesearchaeales,F__uncultured euryarchaeote,G__uncultured euryarchaeote_X sp.,S__
CJ_k141_32314,Bacteria,Bacteroidota,Bacteria_Bacteroidota,C__Bacteroidia,O__Sphingobacteriales,F__env.OPS 17,G__uncultured bacterium,S__
CJ_k141_32317,Bacteria,Bacteroidota,Bacteria_Bacteroidota,C__Bacteroidia,O__Flavobacteriales,F__Crocinitomicaceae,G__Fluviicola,S__
CJ_k141_32330,Bacteria,Bacteroidota,Bacteria_Bacteroidota,C__Bacteroidia,O__Bacteroidales,F__Bacteroidaceae,G__Bacteroides,S__
CJ_k141_32340,Bacteria,Elusimicrobiota,Bacteria_Elusimicrobiota,C__Endomicrobia,O__Endomicrobiales,F__Endomicrobiaceae,G__Endomicrobium,S__
CJ_k141_32342,Bacteria,Bdellovibrionota,Bacteria_Bdellovibrionota,C__Oligoflexia,O__0319-6G20,F__uncultured bacterium,G__uncultured bacterium_X sp.,S__
CJ_k141_32347,Bacteria,Acidobacteriota,Bacteria_Acidobacteriota,C__Vicinamibacteria,O__Vicinamibacterales,F__Vicinamibacteraceae,G__uncultured Acidobacteria bacterium,S__
CJ_k141_32353,Bacteria,Planctomycetota,Bacteria_Planctomycetota,C__OM190,O__uncultured bacterium,F__uncultured bacterium_X,G__uncultured bacterium_XX sp.,S__
CJ_k141_32356,Bacteria,Patescibacteria,Bacteria_Patescibacteria,C__Saccharimonadia,O__Saccharimonadales,F__uncultured bacterium,G__uncultured bacterium_X sp.,S__
CJ_k141_32357,Bacteria,Bdellovibrionota,Bacteria_Bdellovibrionota,C__Bdellovibrionia,O__Bdellovibrionales,F__Bdellovibrionaceae,G__Bdellovibrio,S__
CJ_k141_3238,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Gammaproteobacteria,O__Enterobacterales,F__Enterobacteriaceae,G__Klebsiella,S__
CJ_k141_32380,Bacteria,Verrucomicrobiota,Bacteria_Verrucomicrobiota,C__Omnitrophia,O__Omnitrophales,F__Omnitrophaceae,G__Candidatus Omnitrophus,S__
CJ_k141_32392,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Alphaproteobacteria,O__Rickettsiales,F__Mitochondria,G__Heterosigma akashiwo,S__
CJ_k141_32394,Bacteria,Actinobacteriota,Bacteria_Actinobacteriota,C__Thermoleophilia,O__Gaiellales,F__uncultured,G__uncultured bacterium,S__
CJ_k141_32403,Bacteria,Desulfobacterota,Bacteria_Desulfobacterota,C__Syntrophia,O__Syntrophales,F__Smithellaceae,G__Smithella,S__
CJ_k141_32404,Bacteria,Chloroflexi,Bacteria_Chloroflexi,C__Chloroflexia,O__Thermomicrobiales,F__JG30-KF-CM45,G__uncultured Chloroflexi bacterium,S__
CJ_k141_32407,Bacteria,Bacteroidota,Bacteria_Bacteroidota,C__Bacteroidia,O__Bacteroidales,F__Bacteroidaceae,G__Bacteroides,S__
CJ_k141_32409,Bacteria,Firmicutes,Bacteria_Firmicutes,C__Syntrophomonadia,O__Syntrophomonadales,F__Syntrophomonadaceae,G__Syntrophomonas,S__
CJ_k141_32410,Bacteria,Chloroflexi,Bacteria_Chloroflexi,C__Anaerolineae,O__Anaerolineales,F__Anaerolineaceae,G__uncultured,S__
CJ_k141_32424,Bacteria,Latescibacterota,Bacteria_Latescibacterota,C__uncultured bacterium,O__uncultured bacterium_X,F__uncultured bacterium_XX,G__uncultured bacterium_XXX sp.,S__
CJ_k141_32426,Bacteria,Verrucomicrobiota,Bacteria_Verrucomicrobiota,C__Kiritimatiellae,O__WCHB1-41,F__uncultured bacterium,G__uncultured bacterium_X sp.,S__
CJ_k141_3243,Bacteria,Bacteroidota,Bacteria_Bacteroidota,C__Bacteroidia,O__Flavobacteriales,F__Crocinitomicaceae,G__Fluviicola,S__
CJ_k141_32434,Bacteria,Patescibacteria,Bacteria_Patescibacteria,C__Gracilibacteria,O__Absconditabacteriales (SR1),F__candidate division SR1 bacterium RAAC1_SR1_1,G__candidate division SR1 bacterium RAAC1_SR1_1_X sp.,S__
CJ_k141_32440,Bacteria,Bacteroidota,Bacteria_Bacteroidota,C__Bacteroidia,O__Bacteroidales,F__Williamwhitmaniaceae,G__Blvii28 wastewater-sludge group,S__
CJ_k141_3246,Bacteria,Cyanobacteria,Bacteria_Cyanobacteria,C__Cyanobacteriia,O__Chloroplast,F__Euglena sp. Wollyang110406A,G__Euglena sp. Wollyang110406A_X sp.,S__
CJ_k141_32464,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Gammaproteobacteria,O__Enterobacterales,F__Shewanellaceae,G__Shewanella,S__
CJ_k141_32466,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Alphaproteobacteria,O__Rhizobiales,F__Methyloligellaceae,G__uncultured,S__
CJ_k141_32474,Bacteria,Fibrobacterota,Bacteria_Fibrobacterota,C__Fibrobacteria,O__Fibrobacterales,F__Fibrobacteraceae,G__uncultured,S__
CJ_k141_32475,Bacteria,Bacteroidota,Bacteria_Bacteroidota,C__Bacteroidia,O__Sphingobacteriales,F__env.OPS 17,G__uncultured Bacteroidetes bacterium,S__
CJ_k141_32497,Bacteria,Patescibacteria,Bacteria_Patescibacteria,C__ABY1,O__Candidatus Magasanikbacteria,F__uncultured bacterium,G__uncultured bacterium_X sp.,S__
CJ_k141_32499,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Alphaproteobacteria,O__Rickettsiales,F__Anaplasmataceae,G__Candidatus Neoehrlichia,S__
CJ_k141_3251,Bacteria,Acidobacteriota,Bacteria_Acidobacteriota,C__Vicinamibacteria,O__Vicinamibacterales,F__uncultured,G__uncultured Acidobacteria bacterium,S__
