,Kingdom,Phylum1,Phylum,Class,Order,Family,Genus,Species
DH_k141_21874,Eukaryota,Euglenozoa,Eukaryota_Euglenozoa,C__Kinetoplastea,O__Kinetoplastea_X,F__Kinetoplastea_XX,G__Rhynchobodo,S__Rhynchobodo_sp
DH_k141_31678,Eukaryota,Metazoa,Eukaryota_Metazoa,C__Craniata,O__Craniata_X,F__Teleostei,G__Pimelabditus,S__Pimelabditus_moli
DH_k141_20452,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_2304,Eukaryota,Choanoflagellida,Eukaryota_Choanoflagellida,C__Choanoflagellida_X,O__Choanoflagellida_XX,F__Clade-2,G__Sphaeroeca,S__Sphaeroeca_leprechaunica
DH_k141_39890,Eukaryota,Cercozoa,Eukaryota_Cercozoa,C__Filosa-Thecofilosea,O__Ventricleftida,F__Ventrifissuridae,G__Ventrifissuridae_X,S__Ventrifissuridae_X_sp
DH_k141_29349,Eukaryota,Fungi,Eukaryota_Fungi,C__Chytridiomycota,O__Chytridiomycotina,F__Chytridiomycetes,G__Chytridiomycetes_X,S__Chytridiomycetes_X_sp
DH_k141_2742,Eukaryota,Chlorophyta,Eukaryota_Chlorophyta,C__Trebouxiophyceae,O__Watanabea-Clade,F__Watanabea-Clade_X,G__Chloroidium,S__Chloroidium_ellipsoideum
DH_k141_35724,Eukaryota,Euglenozoa,Eukaryota_Euglenozoa,C__Euglenida,O__Petalomonadida,F__Eupetalomonads_X,G__Eupetalomonads_XX,S__Eupetalomonads_XX_sp
DH_k141_16887,Eukaryota,Fungi,Eukaryota_Fungi,C__Chytridiomycota,O__Chytridiomycotina,F__Chytridiomycetes,G__Chytridiomycetes_X,S__Chytridiomycetes_X_sp
DH_k141_32984,Eukaryota,Ochrophyta,Eukaryota_Ochrophyta,C__Bacillariophyta,O__Bacillariophyta_X,F__Raphid-pennate,G__Raphid-pennate_X,S__Raphid-pennate_X_sp
DH_k141_33860,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_26647,Eukaryota,Streptophyta,Eukaryota_Streptophyta,C__Zygnemophyceae,O__Zygnemophyceae_X,F__Zygnemophyceae_XX,G__Euastrum,S__Euastrum_biverrucosum
DH_k141_5363,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Pezizomycotina,F__Leotiomycetes,G__Leotiomycetes_X,S__Leotiomycetes_X_sp
DH_k141_25251,Eukaryota,Discosea,Eukaryota_Discosea,C__Tubulinea,O__Echinamoebida,F__Vermamoebidae,G__Hartmannella,S__Hartmannella_cantabrigiensis
DH_k141_33936,Eukaryota,Cryptophyta,Eukaryota_Cryptophyta,C__Cryptophyceae,O__Cryptomonadales,F__Cryptomonadales_X,G__Cryptomonas,S__Cryptomonas_sp
DH_k141_15394,Eukaryota,Metazoa,Eukaryota_Metazoa,C__Arthropoda,O__Crustacea,F__Maxillopoda,G__Pseudocyclops,S__Pseudocyclops_sp
DH_k141_16434,Eukaryota,Fungi,Eukaryota_Fungi,C__Fungi_X,O__Fungi_XX,F__Fungi_XXX,G__Fungi_XXXX,S__Fungi_XXXX_sp
DH_k141_8478,Eukaryota,Fungi,Eukaryota_Fungi,C__Basidiomycota,O__Agaricomycotina,F__Agaricomycetes,G__Ciborinia,S__Ciborinia_camelliae
DH_k141_33479,Eukaryota,Fungi,Eukaryota_Fungi,C__Fungi_X,O__Fungi_XX,F__Fungi_XXX,G__Fungi_XXXX,S__Fungi_XXXX_sp
DH_k141_23766,Eukaryota,Fungi,Eukaryota_Fungi,C__Chytridiomycota,O__Chytridiomycotina,F__Chytridiomycetes,G__Chytridiomycetes_X,S__Chytridiomycetes_X_sp
DH_k141_33759,Eukaryota,Ciliophora,Eukaryota_Ciliophora,C__Spirotrichea,O__Hypotrichia,F__Pseudourostylidae,G__Pseudourostyla,S__Pseudourostyla_franzi
DH_k141_10064,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_13043,Eukaryota,Metazoa,Eukaryota_Metazoa,C__Arthropoda,O__Crustacea,F__Branchiopoda,G__Daphnia,S__Daphnia_pulex
DH_k141_35322,Eukaryota,Chlorophyta,Eukaryota_Chlorophyta,C__Chlorophyceae,O__Sphaeropleales,F__Sphaeropleales_X,G__Desmodesmus,S__Desmodesmus_sp
DH_k141_22463,Eukaryota,Fungi,Eukaryota_Fungi,C__Chytridiomycota,O__Chytridiomycotina,F__Chytridiomycetes,G__Chytridiomycetes_X,S__Chytridiomycetes_X_sp
DH_k141_34053,Eukaryota,Discosea,Eukaryota_Discosea,C__Lobosa_X,O__Himatismenida,F__Cochliopodiidae,G__Cochliopodium,S__Cochliopodium_bilimbosum
DH_k141_14295,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_6897,Eukaryota,Fungi,Eukaryota_Fungi,C__Fungi_X,O__Fungi_XX,F__Fungi_XXX,G__Fungi_XXXX,S__Fungi_XXXX_sp
DH_k141_32954,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_4991,Eukaryota,Ciliophora,Eukaryota_Ciliophora,C__Nassophorea,O__Nassophorea_X,F__Nassulida,G__Obertrumia,S__Obertrumia_georgiana
DH_k141_24793,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_33805,Eukaryota,Fungi,Eukaryota_Fungi,C__Chytridiomycota,O__Chytridiomycotina,F__Chytridiomycetes,G__Spizellomycetales-and-Rhizophlyctidales,S__Spizellomycetales-and-Rhizophlyctidales_sp
DH_k141_16216,Eukaryota,Discosea,Eukaryota_Discosea,C__Tubulinea,O__Arcellinida,F__Difflugiidae,G__Arcella,S__Arcella_vulgaris
DH_k141_7125,Eukaryota,Ciliophora,Eukaryota_Ciliophora,C__Oligohymenophorea,O__Peritrichia_2,F__Sessilida,G__Sessilida_X,S__Sessilida_X_sp
DH_k141_26888,Eukaryota,Fungi,Eukaryota_Fungi,C__Basidiomycota,O__Agaricomycotina,F__Agaricomycetes,G__Psathyrella,S__Psathyrella_spadicea
DH_k141_24124,Eukaryota,Fungi,Eukaryota_Fungi,C__Microsporidiomycota,O__Microsporidiomycotina,F__Microsporidiomycotina_X,G__Nosema,S__Nosema_bombi
DH_k141_26052,Eukaryota,Fungi,Eukaryota_Fungi,C__Microsporidiomycota,O__Microsporidiomycotina,F__Microsporidiomycotina_X,G__Nosema,S__Nosema_bombi
DH_k141_3738,Eukaryota,Fungi,Eukaryota_Fungi,C__Microsporidiomycota,O__Microsporidiomycotina,F__Microsporidiomycotina_X,G__Nosema,S__Nosema_bombi
DH_k141_25164,Eukaryota,Fungi,Eukaryota_Fungi,C__Chytridiomycota,O__Chytridiomycotina,F__Chytridiomycetes,G__Chytridiomycetes_X,S__Chytridiomycetes_X_sp
DH_k141_18766,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_4048,Eukaryota,Chlorophyta,Eukaryota_Chlorophyta,C__Chlorophyceae,O__Chlamydomonadales,F__Chlamydomonadales_X,G__Lobochlamys,S__Lobochlamys_segnis
DH_k141_14637,Eukaryota,Metazoa,Eukaryota_Metazoa,C__Arthropoda,O__Hexapoda,F__Insecta,G__Pedicinus,S__Pedicinus_sp
DH_k141_25972,Eukaryota,Metazoa,Eukaryota_Metazoa,C__Arthropoda,O__Chelicerata,F__Arachnida,G__Parasitatax,S__Unionicola_foili
DH_k141_29839,Eukaryota,Fungi,Eukaryota_Fungi,C__Microsporidiomycota,O__Microsporidiomycotina,F__Microsporidiomycotina_X,G__Nosema,S__Nosema_bombi
DH_k141_11112,Eukaryota,Metazoa,Eukaryota_Metazoa,C__Platyhelminthes,O__Trematoda,F__Digenea,G__Digenea_X,S__Digenea_X_sp
DH_k141_28778,Eukaryota,Chlorophyta,Eukaryota_Chlorophyta,C__Trebouxiophyceae,O__Chlorellales,F__Chlorellales_X,G__Franceia,S__Franceia_amphitricha
DH_k141_18349,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_1856,Eukaryota,Metazoa,Eukaryota_Metazoa,C__Annelida,O__Annelida_X,F__Annelida_XX,G__Rhyacodrilus,S__Rhyacodrilus_hiemalis
DH_k141_31076,Eukaryota,Cryptophyta,Eukaryota_Cryptophyta,C__Cryptophyceae,O__Cryptomonadales,F__Cryptomonadales_X,G__Cryptomonadales_XX,S__Cryptomonadales_XX_sp
DH_k141_37677,Eukaryota,Cryptophyta,Eukaryota_Cryptophyta,C__Cryptophyceae,O__Goniomonadales,F__Goniomonadales_X,G__Goniomonas,S__Goniomonas_sp
DH_k141_13305,Eukaryota,Cercozoa,Eukaryota_Cercozoa,C__Filosa-Granofilosea,O__Filosa-Granofilosea_X,F__Novel-Gran-6,G__Novel-Gran-6_X,S__Novel-Gran-6_X_sp
DH_k141_8290,Eukaryota,Fungi,Eukaryota_Fungi,C__Chytridiomycota,O__Chytridiomycotina,F__Chytridiomycetes,G__Chytridiomycetes_X,S__Chytridiomycetes_X_sp
DH_k141_5101,Eukaryota,Fungi,Eukaryota_Fungi,C__Fungi_X,O__Fungi_XX,F__Fungi_XXX,G__Fungi_XXXX,S__Fungi_XXXX_sp
DH_k141_31464,Eukaryota,Discosea,Eukaryota_Discosea,C__Lobosa_X,O__Himatismenida,F__Cochliopodiidae,G__Cochliopodium,S__Cochliopodium_minus
DH_k141_36265,Eukaryota,Fungi,Eukaryota_Fungi,C__Basidiomycota,O__Agaricomycotina,F__Agaricomycetes,G__Psathyrella,S__Psathyrella_rostellata
DH_k141_983,Eukaryota,Euglenozoa,Eukaryota_Euglenozoa,C__Kinetoplastea,O__Eubodonida,F__Bodonidae,G__Bodo,S__Bodo_sp
DH_k141_36972,Eukaryota,Discosea,Eukaryota_Discosea,C__Tubulinea,O__Arcellinida,F__Arcellinida_X,G__Cryptodifflugia,S__Cryptodifflugia_operculata
DH_k141_6856,Eukaryota,Fungi,Eukaryota_Fungi,C__Fungi_X,O__Fungi_XX,F__Fungi_XXX,G__Fungi_XXXX,S__Fungi_XXXX_sp
DH_k141_26382,Eukaryota,Fungi,Eukaryota_Fungi,C__Fungi_X,O__Fungi_XX,F__Fungi_XXX,G__Fungi_XXXX,S__Fungi_XXXX_sp
DH_k141_32062,Eukaryota,Ochrophyta,Eukaryota_Ochrophyta,C__Bacillariophyta,O__Bacillariophyta_X,F__Polar-centric-Mediophyceae,G__Thalassiosira,S__Thalassiosira_anguste-lineata
DH_k141_11827,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_26362,Eukaryota,Fungi,Eukaryota_Fungi,C__Fungi_X,O__Fungi_XX,F__Fungi_XXX,G__Fungi_XXXX,S__Fungi_XXXX_sp
DH_k141_18768,Eukaryota,Cercozoa,Eukaryota_Cercozoa,C__Filosa-Granofilosea,O__Limnofilida,F__Limnofilidae,G__Limnofilidae_X,S__Limnofilidae_X_sp
DH_k141_35965,Eukaryota,Fungi,Eukaryota_Fungi,C__Basidiomycota,O__Agaricomycotina,F__Agaricomycetes,G__Psathyrella,S__Psathyrella_fagetophila
DH_k141_38351,Eukaryota,Cercozoa,Eukaryota_Cercozoa,C__Novel-clade-10-12,O__Novel-clade-12,F__NC12B-lineage,G__NC12B-lineage_X,S__NC12B-lineage_X_sp
DH_k141_2522,Eukaryota,Metazoa,Eukaryota_Metazoa,C__Rotifera,O__Rotifera_X,F__Rotifera_XX,G__Sinantherina,S__Sinantherina_socialis
DH_k141_24485,Eukaryota,Cercozoa,Eukaryota_Cercozoa,C__Novel-clade-10-12,O__Novel-clade-10,F__Novel-clade-10_X,G__Novel-clade-10_XX,S__Novel-clade-10_XX_sp
DH_k141_32162,Eukaryota,Fungi,Eukaryota_Fungi,C__Basidiomycota,O__Agaricomycotina,F__Agaricomycetes,G__Dolichousnea,S__Dolichousnea_diffracta
DH_k141_17228,Eukaryota,Fungi,Eukaryota_Fungi,C__Chytridiomycota,O__Chytridiomycotina,F__Chytridiomycetes,G__Rhyzophidiales_X,S__Rhyzophidiales_X_sp
DH_k141_38947,Eukaryota,Discosea,Eukaryota_Discosea,C__Tubulinea,O__Euamoebida,F__Hartmannellidae,G__Copromyxa,S__Copromyxa_sp
DH_k141_31472,Eukaryota,Fungi,Eukaryota_Fungi,C__Microsporidiomycota,O__Microsporidiomycotina,F__Microsporidiomycotina_X,G__Nosema,S__Nosema_bombi
DH_k141_5727,Eukaryota,Fungi,Eukaryota_Fungi,C__Basidiomycota,O__Agaricomycotina,F__Tremellomycetes,G__Biatoropsis,S__Biatoropsis_usnearum
DH_k141_33272,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_4965,Eukaryota,Haptophyta,Eukaryota_Haptophyta,C__Prymnesiophyceae,O__Prymnesiales,F__Prymnesiophyceae_Clade_B5,G__Prymnesiophyceae_Clade_B5_X,S__Prymnesiophyceae_Clade_B5_X_sp
DH_k141_18994,Eukaryota,Fungi,Eukaryota_Fungi,C__Microsporidiomycota,O__Microsporidiomycotina,F__Microsporidiomycotina_X,G__Nosema,S__Nosema_bombycis
DH_k141_32797,Eukaryota,Ciliophora,Eukaryota_Ciliophora,C__Spirotrichea,O__Hypotrichia,F__Oxytrichidae,G__Tetmemena,S__Tetmemena_pustulata
DH_k141_4886,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Pezizomycotina,F__Sordariomycetes,G__Isaria,S__Isaria_farinosa
DH_k141_31087,Eukaryota,Ochrophyta,Eukaryota_Ochrophyta,C__Chrysophyceae,O__Chrysophyceae_X,F__Chrysophyceae_Clade-C,G__Spumella,S__Spumella_sp
DH_k141_26697,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_16314,Eukaryota,Fungi,Eukaryota_Fungi,C__Basidiomycota,O__Agaricomycotina,F__Agaricomycetes,G__Dendrothele,S__Dendrothele_americana
DH_k141_30075,Eukaryota,Discosea,Eukaryota_Discosea,C__Discosea-Longamoebia,O__Dermamoebida,F__Mayorellidae,G__Mayorella,S__Mayorella_gemmifera
DH_k141_26466,Eukaryota,Cercozoa,Eukaryota_Cercozoa,C__Filosa-Granofilosea,O__Filosa-Granofilosea_X,F__Novel-Gran-6,G__Novel-Gran-6_X,S__Novel-Gran-6_X_sp
DH_k141_5230,Eukaryota,Fungi,Eukaryota_Fungi,C__Chytridiomycota,O__Chytridiomycotina,F__Chytridiomycetes,G__Chytridiomycetes_X,S__Chytridiomycetes_X_sp
DH_k141_28805,Eukaryota,Ciliophora,Eukaryota_Ciliophora,C__Oligohymenophorea,O__Peritrichia_2,F__Sessilida,G__Sessilida_X,S__Sessilida_X_sp
DH_k141_24922,Eukaryota,Metazoa,Eukaryota_Metazoa,C__Arthropoda,O__Crustacea,F__Malacostraca,G__Thylakogaster,S__Thylakogaster_sp
DH_k141_1962,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_16108,Eukaryota,Discoba_X,Eukaryota_Discoba_X,C__Discoba_XX,O__Jakobida,F__Histionidae,G__Histionidae_X,S__Histionidae_X_sp
DH_k141_3148,Eukaryota,Opisthokonta_X,Eukaryota_Opisthokonta_X,C__Corallochytrea,O__Corallochytrida,F__Corallochytridae,G__Syssomonas,S__Syssomonas_multiformis
DH_k141_31913,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_22208,Eukaryota,Fungi,Eukaryota_Fungi,C__Chytridiomycota,O__Chytridiomycotina,F__Chytridiomycetes,G__Chytridiomycetes_X,S__Chytridiomycetes_X_sp
DH_k141_36405,Eukaryota,Apicomplexa,Eukaryota_Apicomplexa,C__Coccidiomorphea,O__Eimeriida,F__Eimeriidae,G__Eimeria3,S__Eimeria3_weybridgensis
DH_k141_22654,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Pezizomycotina,F__Leotiomycetes,G__Cryptosporiopsis,S__Cryptosporiopsis_sp
DH_k141_35982,Eukaryota,Ochrophyta,Eukaryota_Ochrophyta,C__Bacillariophyta,O__Bacillariophyta_X,F__Polar-centric-Mediophyceae,G__Thalassiosira,S__Thalassiosira_tenera
DH_k141_8369,Eukaryota,Choanoflagellida,Eukaryota_Choanoflagellida,C__Choanoflagellida_X,O__Choanoflagellida_XX,F__Choanoflagellida_XXX,G__Choanoflagellida_XXXX,S__Choanoflagellida_XXXX_sp
DH_k141_28116,Eukaryota,Euglenozoa,Eukaryota_Euglenozoa,C__Euglenida,O__Euglenida_X,F__Entosiphonidae,G__Entosiphon,S__Entosiphon_sp
DH_k141_30049,Eukaryota,Chlorophyta,Eukaryota_Chlorophyta,C__Chlorophyceae,O__Sphaeropleales,F__Sphaeropleales_X,G__Characium,S__Characium_oviforme
DH_k141_11514,Eukaryota,Perkinsea,Eukaryota_Perkinsea,C__Perkinsida,O__Perkinsida_X,F__Perkinsida_XX,G__Perkinsida_XXX,S__Perkinsida_XXX_sp
DH_k141_19263,Eukaryota,Chlorophyta,Eukaryota_Chlorophyta,C__Chlorophyceae,O__Chlamydomonadales,F__Chlamydomonadales_X,G__Pandorina,S__Pandorina_morum
DH_k141_18769,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_33465,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_21207,Eukaryota,Ochrophyta,Eukaryota_Ochrophyta,C__Bicoecea,O__Pseudodendromonadales,F__Pseudodendromonadales_X,G__Pseudodendromonadales_XX,S__Pseudodendromonadales_XX_sp
DH_k141_3075,Eukaryota,Discosea,Eukaryota_Discosea,C__Tubulinea,O__Euamoebida,F__LOS7N/I-lineage,G__Ptolemeba,S__Ptolemeba_noxubium
DH_k141_13414,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_1439,Eukaryota,Cercozoa,Eukaryota_Cercozoa,C__Filosa-Imbricatea,O__Spongomonadida,F__Spongomonadidae,G__Spongomonas,S__Spongomonas_minima
DH_k141_15356,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_7649,Eukaryota,Alveolata_X,Eukaryota_Alveolata_X,C__Colpodellidea,O__Colpodellida,F__Colpodellida_CHR1,G__Colpodellida_CHR1_X,S__Colpodellida_CHR1_X_sp
DH_k141_1682,Eukaryota,Ochrophyta,Eukaryota_Ochrophyta,C__Centroheliozoa_X,O__Centroheliozoa_XX,F__Centroheliozoa_XXX,G__Centroheliozoa_XXXX,S__Centroheliozoa_XXXX_sp
DH_k141_39984,Eukaryota,Fungi,Eukaryota_Fungi,C__Microsporidiomycota,O__Microsporidiomycotina,F__Microsporidiomycotina_X,G__Nosema,S__Nosema_bombi
DH_k141_18116,Eukaryota,Fungi,Eukaryota_Fungi,C__Chytridiomycota,O__Chytridiomycotina,F__Chytridiomycetes,G__Asterophlyctis,S__Asterophlyctis_sarcoptoides
DH_k141_21709,Eukaryota,Fungi,Eukaryota_Fungi,C__Chytridiomycota,O__Chytridiomycotina,F__Chytridiomycetes,G__Chytridiomycetes_X,S__Chytridiomycetes_X_sp
DH_k141_23452,Eukaryota,Ochrophyta,Eukaryota_Ochrophyta,C__Centroheliozoa_X,O__Centroheliozoa_XX,F__Centroheliozoa_XXX,G__Centroheliozoa_XXXX,S__Centroheliozoa_XXXX_sp
DH_k141_17439,Eukaryota,Dinoflagellata,Eukaryota_Dinoflagellata,C__Dinophyceae,O__Dinophyceae_X,F__Dinophyceae_XX,G__Dinophyceae_XXX,S__Dinophyceae_XXX_sp
DH_k141_29982,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Pezizomycotina,F__Eurotiomycetes,G__Penicillium,S__Penicillium_sp
DH_k141_4168,Eukaryota,Dinoflagellata,Eukaryota_Dinoflagellata,C__Dinophyceae,O__Peridiniales,F__Peridiniales_X,G__Glenodiniopsis,S__Glenodiniopsis_steinii
DH_k141_15852,Eukaryota,Heterolobosea,Eukaryota_Heterolobosea,C__Heterolobosea,O__Tetramitia_VI,F__Tetramitia_VI_X,G__Parafumarolamoeba,S__Parafumarolamoeba_alta
DH_k141_22579,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_2202,Eukaryota,Fungi,Eukaryota_Fungi,C__Basidiomycota,O__Agaricomycotina,F__Agaricomycetes,G__Psathyrella,S__Psathyrella_rostellata
DH_k141_21973,Eukaryota,Ciliophora,Eukaryota_Ciliophora,C__Oligohymenophorea,O__Scuticociliatia_2,F__Scuticociliatia_2_X,G__Scuticociliatia_2_XX,S__Scuticociliatia_2_XX_sp
DH_k141_25898,Eukaryota,Fungi,Eukaryota_Fungi,C__Microsporidiomycota,O__Microsporidiomycotina,F__Microsporidiomycotina_X,G__Nosema,S__Nosema_bombycis
DH_k141_37765,Eukaryota,Ciliophora,Eukaryota_Ciliophora,C__Phyllopharyngea,O__Suctoria,F__Evaginogenida,G__Heliophrya,S__Heliophrya_erhardi
DH_k141_35217,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_22203,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Pezizomycotina,F__Sordariomycetes,G__Paecilomyces,S__Paecilomyces_variotii
DH_k141_6955,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Pezizomycotina,F__Leotiomycetes,G__Leotiomycetes_X,S__Leotiomycetes_X_sp
DH_k141_22692,Eukaryota,Euglenozoa,Eukaryota_Euglenozoa,C__Kinetoplastea,O__Neobodonida,F__Rhynchomonadidae,G__Rhynchomonas,S__Rhynchomonas_sp
DH_k141_32875,Eukaryota,Metazoa,Eukaryota_Metazoa,C__Nematoda,O__Chromadorea,F__Chromadorea_X,G__Rhabdias,S__Rhabdias_bakeri
DH_k141_6563,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Pezizomycotina,F__Dothideomycetes,G__Davidiella,S__Davidiella_sp
DH_k141_19479,Eukaryota,Ochrophyta,Eukaryota_Ochrophyta,C__Bicoecea,O__Pseudodendromonadales,F__Pseudodendromonadales_X,G__Adriamonas,S__Adriamonas_peritocrescens
DH_k141_7430,Eukaryota,Fungi,Eukaryota_Fungi,C__Microsporidiomycota,O__Microsporidiomycotina,F__Microsporidiomycotina_X,G__Nosema,S__Nosema_bombi
DH_k141_1564,Eukaryota,Streptophyta,Eukaryota_Streptophyta,C__Zygnemophyceae,O__Zygnemophyceae_X,F__Zygnematales,G__Mesotaenium,S__Mesotaenium_caldariorum
DH_k141_36298,Eukaryota,Cryptophyta,Eukaryota_Cryptophyta,C__Cryptophyceae,O__Goniomonadales,F__Goniomonadales_X,G__Goniomonas,S__Goniomonas_sp
DH_k141_19416,Eukaryota,Fungi,Eukaryota_Fungi,C__Microsporidiomycota,O__Microsporidiomycotina,F__Microsporidiomycotina_X,G__Nosema,S__Nosema_bombycis
DH_k141_12531,Eukaryota,Fungi,Eukaryota_Fungi,C__Chytridiomycota,O__Chytridiomycotina,F__Chytridiomycotina_X,G__Chytridiomycotina_XX,S__Chytridiomycotina_XX_sp
DH_k141_31663,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_1611,Eukaryota,Fungi,Eukaryota_Fungi,C__Microsporidiomycota,O__Microsporidiomycotina,F__Microsporidiomycotina_X,G__Euplotespora,S__Euplotespora_binucleata
DH_k141_18324,Eukaryota,Fungi,Eukaryota_Fungi,C__Microsporidiomycota,O__Microsporidiomycotina,F__Microsporidiomycotina_X,G__Nosema,S__Nosema_bombi
DH_k141_26802,Eukaryota,Fungi,Eukaryota_Fungi,C__Cryptomycota,O__Cryptomycotina,F__Cryptomycotina_X,G__Cryptomycotina_XX,S__Cryptomycotina_XX_sp
DH_k141_26839,Eukaryota,Fungi,Eukaryota_Fungi,C__Chytridiomycota,O__Chytridiomycotina,F__Chytridiomycetes,G__Chytridiomycetes_X,S__Chytridiomycetes_X_sp
DH_k141_20438,Eukaryota,Fungi,Eukaryota_Fungi,C__Fungi_X,O__Fungi_XX,F__Fungi_XXX,G__Fungi_XXXX,S__Fungi_XXXX_sp
DH_k141_7519,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_1190,Eukaryota,Fungi,Eukaryota_Fungi,C__Chytridiomycota,O__Chytridiomycotina,F__Chytridiomycotina_X,G__Chytridiomycotina_XX,S__Chytridiomycotina_XX_sp
DH_k141_18543,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Pezizomycotina,F__Leotiomycetes,G__Leotiomycetes_X,S__Leotiomycetes_X_sp
DH_k141_16285,Eukaryota,Ciliophora,Eukaryota_Ciliophora,C__Phyllopharyngea,O__Suctoria,F__Tokophryidae,G__Tokophrya,S__Tokophrya_lemnarum
DH_k141_12516,Eukaryota,Ciliophora,Eukaryota_Ciliophora,C__Phyllopharyngea,O__Suctoria,F__Suctoria_X,G__Suctoria_XX,S__Suctoria_XX_sp
DH_k141_18409,Eukaryota,Fungi,Eukaryota_Fungi,C__Microsporidiomycota,O__Microsporidiomycotina,F__Microsporidiomycotina_X,G__Nosema,S__Nosema_bombi
DH_k141_26524,Eukaryota,Discosea,Eukaryota_Discosea,C__Tubulinea,O__Euamoebida,F__Hartmannellidae,G__Copromyxa,S__Copromyxa_protea
DH_k141_29358,Eukaryota,Fungi,Eukaryota_Fungi,C__Fungi_X,O__Fungi_XX,F__Fungi_XXX,G__Fungi_XXXX,S__Fungi_XXXX_sp
DH_k141_30744,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_17931,Eukaryota,Fungi,Eukaryota_Fungi,C__Fungi_X,O__Fungi_XX,F__Fungi_XXX,G__Fungi_XXXX,S__Fungi_XXXX_sp
DH_k141_13957,Eukaryota,Cryptophyta,Eukaryota_Cryptophyta,C__Cryptophyceae,O__Cryptomonadales,F__Hemiselmidaceae,G__Hemiselmis,S__Hemiselmis_sp.
