,Comparison,Taxa,Method,Group,LDA,P.unadj,P.adj,Significance
k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Triticum aestivum (bread wheat),PFU - Water,k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Triticum aestivum (bread wheat),LEfSe,PFU,3.65325457,1.67E-06,1.91E-05,***
k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Triticum aestivum (bread wheat)|g__Triticum aestivum (bread wheat)_X sp.,PFU - Water,k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Triticum aestivum (bread wheat)|g__Triticum aestivum (bread wheat)_X sp.,LEfSe,PFU,3.65325457,1.67E-06,1.91E-05,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea,LEfSe,PFU,3.651313658,4.88E-08,1.03E-06,***
k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Bacilli,PFU - Water,k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Bacilli,LEfSe,Water,3.60594103,0.000458482,0.002338578,**
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__Peritrichia_2,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__Peritrichia_2,LEfSe,PFU,3.566426426,1.05E-05,9.24E-05,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__Peritrichia_2|f__Sessilida,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__Peritrichia_2|f__Sessilida,LEfSe,PFU,3.566426426,1.05E-05,9.24E-05,***
k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Clostridia,PFU - Water,k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Clostridia,LEfSe,Water,3.548187657,4.49E-05,0.000325196,***
k__Bacteria|p__Acidobacteriota,PFU - Water,k__Bacteria|p__Acidobacteriota,LEfSe,PFU,3.544915555,2.49E-08,6.00E-07,***
k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota,PFU - Water,k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota,LEfSe,PFU,3.544915555,2.49E-08,6.00E-07,***
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Gastrotricha,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Gastrotricha,LEfSe,PFU,3.534544885,8.86E-09,2.83E-07,***
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Gastrotricha|o__Gastrotricha_X,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Gastrotricha|o__Gastrotricha_X,LEfSe,PFU,3.534544885,8.86E-09,2.83E-07,***
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Gastrotricha|o__Gastrotricha_X|f__Gastrotricha_XX,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Gastrotricha|o__Gastrotricha_X|f__Gastrotricha_XX,LEfSe,PFU,3.534544885,8.86E-09,2.83E-07,***
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Arthropoda|o__Crustacea|f__Branchiopoda,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Arthropoda|o__Crustacea|f__Branchiopoda,LEfSe,Water,3.523881517,2.49E-08,6.00E-07,***
