,Comparison,Taxa,Method,Group,LDA,P.unadj,P.adj,Significance
k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota|c__Acidobacteriae|o__Solibacterales|f__Solibacteraceae|g__Candidatus Solibacter,PFU - Water,k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota|c__Acidobacteriae|o__Solibacterales|f__Solibacteraceae|g__Candidatus Solibacter,LEfSe,PFU,1.867937725,6.64E-08,1.30E-06,***
k__Eukaryota|p__Chlorophyta|p__Eukaryota_Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Selenastraceae|g__Monoraphidium|s__Monoraphidium_terrestre,PFU - Water,k__Eukaryota|p__Chlorophyta|p__Eukaryota_Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Selenastraceae|g__Monoraphidium|s__Monoraphidium_terrestre,LEfSe,Water,1.867779817,0.000128578,0.000793619,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Dictyochophyceae,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Dictyochophyceae,LEfSe,Water,1.86713448,3.26E-05,0.000245249,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Dictyochophyceae|o__Dictyochophyceae_X,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Dictyochophyceae|o__Dictyochophyceae_X,LEfSe,Water,1.86713448,3.26E-05,0.000245249,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Dictyochophyceae|o__Dictyochophyceae_X|f__Pedinellales,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Dictyochophyceae|o__Dictyochophyceae_X|f__Pedinellales,LEfSe,Water,1.86713448,3.26E-05,0.000245249,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Dictyochophyceae|o__Dictyochophyceae_X|f__Pedinellales|g__Pedinellales_X,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Dictyochophyceae|o__Dictyochophyceae_X|f__Pedinellales|g__Pedinellales_X,LEfSe,Water,1.86713448,3.26E-05,0.000245249,***
k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Sarcomonadea|o__Glissomonadida|f__Bodomorphidae,PFU - Water,k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Sarcomonadea|o__Glissomonadida|f__Bodomorphidae,LEfSe,PFU,1.86577409,0.001244885,0.005352399,**
k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Sarcomonadea|o__Glissomonadida|f__Bodomorphidae|g__Bodomorpha,PFU - Water,k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Sarcomonadea|o__Glissomonadida|f__Bodomorphidae|g__Bodomorpha,LEfSe,PFU,1.86577409,0.001244885,0.005352399,**
k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Syntrophia|o__Syntrophales|f__Syntrophaceae,PFU - Water,k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Syntrophia|o__Syntrophales|f__Syntrophaceae,LEfSe,PFU,1.862611602,3.39E-07,5.09E-06,***
k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Syntrophia|o__Syntrophales|f__Syntrophaceae|g__Syntrophus,PFU - Water,k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Syntrophia|o__Syntrophales|f__Syntrophaceae|g__Syntrophus,LEfSe,PFU,1.862611602,3.39E-07,5.09E-06,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Candidatus Methylospira,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Candidatus Methylospira,LEfSe,PFU,1.862361868,2.10E-08,5.33E-07,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Taphrinomycotina,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Taphrinomycotina,LEfSe,PFU,1.860297886,4.25E-05,0.000310296,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Taphrinomycotina|f__Taphrinomycetes,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Taphrinomycotina|f__Taphrinomycetes,LEfSe,PFU,1.860297886,4.25E-05,0.000310296,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Taphrinomycotina|f__Taphrinomycetes|g__Taphrina,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Taphrinomycotina|f__Taphrinomycetes|g__Taphrina,LEfSe,PFU,1.860297886,4.25E-05,0.000310296,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Taphrinomycotina|f__Taphrinomycetes|g__Taphrina|s__Taphrina_pruni,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Taphrinomycotina|f__Taphrinomycetes|g__Taphrina|s__Taphrina_pruni,LEfSe,PFU,1.860297886,4.25E-05,0.000310296,***
k__Eukaryota|p__Amoebozoa_X,PFU - Water,k__Eukaryota|p__Amoebozoa_X,LEfSe,PFU,1.857368092,0.001204408,0.005219924,**
k__Eukaryota|p__Amoebozoa_X|p__Eukaryota_Amoebozoa_X,PFU - Water,k__Eukaryota|p__Amoebozoa_X|p__Eukaryota_Amoebozoa_X,LEfSe,PFU,1.857368092,0.001204408,0.005219924,**
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Gastrotricha|o__Gastrotricha_X|f__Gastrotricha_XX|g__Chaetonotus|s__Chaetonotus_neptuni,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Gastrotricha|o__Gastrotricha_X|f__Gastrotricha_XX|g__Chaetonotus|s__Chaetonotus_neptuni,LEfSe,PFU,1.857277393,0.000621767,0.002984766,**
k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Syntrophobacteria|o__Syntrophobacterales|f__Syntrophobacteraceae|g__Syntrophobacter,PFU - Water,k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Syntrophobacteria|o__Syntrophobacterales|f__Syntrophobacteraceae|g__Syntrophobacter,LEfSe,PFU,1.85596503,1.53E-07,2.67E-06,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Novispirillum,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Novispirillum,LEfSe,PFU,1.855127536,6.16E-05,0.000429574,***
k__Archaea|p__Nanoarchaeota|p__Archaea_Nanoarchaeota|c__Nanoarchaeia|o__Woesearchaeales|f__GW2011,PFU - Water,k__Archaea|p__Nanoarchaeota|p__Archaea_Nanoarchaeota|c__Nanoarchaeia|o__Woesearchaeales|f__GW2011,LEfSe,PFU,1.855104768,0.001479619,0.006116961,**
k__Archaea|p__Nanoarchaeota|p__Archaea_Nanoarchaeota|c__Nanoarchaeia|o__Woesearchaeales|f__GW2011|g__AR15,PFU - Water,k__Archaea|p__Nanoarchaeota|p__Archaea_Nanoarchaeota|c__Nanoarchaeia|o__Woesearchaeales|f__GW2011|g__AR15,LEfSe,PFU,1.855104768,0.001479619,0.006116961,**
k__Bacteria|p__Planctomycetota|p__Bacteria_Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Schlesneriaceae|g__Schlesneria,PFU - Water,k__Bacteria|p__Planctomycetota|p__Bacteria_Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Schlesneriaceae|g__Schlesneria,LEfSe,PFU,1.854647544,4.99E-07,7.19E-06,***
k__Eukaryota|p__Amoebozoa_X|p__Eukaryota_Amoebozoa_X|c__Variosea,PFU - Water,k__Eukaryota|p__Amoebozoa_X|p__Eukaryota_Amoebozoa_X|c__Variosea,LEfSe,PFU,1.853629503,5.24E-06,5.26E-05,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Euplotia,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Euplotia,LEfSe,PFU,1.852832062,0.000138258,0.000845203,***
k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Tubulinea|o__Arcellinida|f__Arcellinida_X,PFU - Water,k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Tubulinea|o__Arcellinida|f__Arcellinida_X,LEfSe,PFU,1.852293849,0.000315654,0.00169438,**
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis,LEfSe,PFU,1.850701966,4.79E-05,0.000343137,***
k__Bacteria|p__Dependentiae|p__Bacteria_Dependentiae|c__Babeliae|o__Babeliales|f__Babeliaceae,PFU - Water,k__Bacteria|p__Dependentiae|p__Bacteria_Dependentiae|c__Babeliae|o__Babeliales|f__Babeliaceae,LEfSe,PFU,1.850451042,9.67E-09,2.96E-07,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae,LEfSe,PFU,1.848892596,0.001085389,0.004798472,**
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Lentisphaeria|o__Victivallales,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Lentisphaeria|o__Victivallales,LEfSe,PFU,1.84878317,0.000163229,0.000961698,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Chytridiomycota|o__Chytridiomycotina|f__Chytridiomycetes|g__Obelidium,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Chytridiomycota|o__Chytridiomycotina|f__Chytridiomycetes|g__Obelidium,LEfSe,PFU,1.846806862,1.69E-06,1.93E-05,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Chytridiomycota|o__Chytridiomycotina|f__Chytridiomycetes|g__Obelidium|s__Obelidium_mucronatum,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Chytridiomycota|o__Chytridiomycotina|f__Chytridiomycetes|g__Obelidium|s__Obelidium_mucronatum,LEfSe,PFU,1.846806862,1.69E-06,1.93E-05,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__|f__|g__Candidatus Ovatusbacter,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__|f__|g__Candidatus Ovatusbacter,LEfSe,PFU,1.840487894,2.40E-06,2.60E-05,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Psychromonadaceae,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Psychromonadaceae,LEfSe,PFU,1.838251905,0.002103893,0.008263687,**
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Psychromonadaceae|g__Psychromonas,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Psychromonadaceae|g__Psychromonas,LEfSe,PFU,1.838251905,0.002103893,0.008263687,**
k__Eukaryota|p__Amoebozoa_X|p__Eukaryota_Amoebozoa_X|c__Variosea|o__Variosea_X,PFU - Water,k__Eukaryota|p__Amoebozoa_X|p__Eukaryota_Amoebozoa_X|c__Variosea|o__Variosea_X,LEfSe,PFU,1.836046548,1.72E-06,1.96E-05,***
k__Eukaryota|p__Chlorophyta|p__Eukaryota_Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadales_X|g__Carteria,PFU - Water,k__Eukaryota|p__Chlorophyta|p__Eukaryota_Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadales_X|g__Carteria,LEfSe,PFU,1.835275766,0.001405906,0.005828622,**
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Mitochondria|g__Jakoba bahamiensis,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Mitochondria|g__Jakoba bahamiensis,LEfSe,PFU,1.834918168,1.86E-06,2.08E-05,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Arachidicoccus,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Arachidicoccus,LEfSe,Water,1.828085613,4.47E-09,1.68E-07,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Mitochondria|g__Nitzschia sp. PL3-2,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Mitochondria|g__Nitzschia sp. PL3-2,LEfSe,PFU,1.827004487,0.000207013,0.001198825,**
k__Bacteria|p__Patescibacteria|p__Bacteria_Patescibacteria|c__ABY1|o__Candidatus Kerfeldbacteria,PFU - Water,k__Bacteria|p__Patescibacteria|p__Bacteria_Patescibacteria|c__ABY1|o__Candidatus Kerfeldbacteria,LEfSe,PFU,1.826754005,2.02E-05,0.000162582,***
k__Bacteria|p__Armatimonadota|p__Bacteria_Armatimonadota|c__Fimbriimonadia|o__Fimbriimonadales|f__Fimbriimonadaceae|g__Armatimonadetes bacterium 55-13,PFU - Water,k__Bacteria|p__Armatimonadota|p__Bacteria_Armatimonadota|c__Fimbriimonadia|o__Fimbriimonadales|f__Fimbriimonadaceae|g__Armatimonadetes bacterium 55-13,LEfSe,PFU,1.826072746,2.87E-09,1.26E-07,***
k__Bacteria|p__Myxococcota|p__Bacteria_Myxococcota|c__Polyangia|o__Nannocystales|f__Nannocystaceae|g__Plesiocystis,PFU - Water,k__Bacteria|p__Myxococcota|p__Bacteria_Myxococcota|c__Polyangia|o__Nannocystales|f__Nannocystaceae|g__Plesiocystis,LEfSe,PFU,1.82511844,0.00086149,0.00388199,**
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Pelagophyceae|o__Pelagomonadales|f__Pelagomonadaceae|g__Pelagomonas,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Pelagophyceae|o__Pelagomonadales|f__Pelagomonadaceae|g__Pelagomonas,LEfSe,PFU,1.822310946,4.49E-05,0.000325196,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Pelagophyceae|o__Pelagomonadales|f__Pelagomonadaceae|g__Pelagomonas|s__Pelagomonas_calceolata,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Pelagophyceae|o__Pelagomonadales|f__Pelagomonadaceae|g__Pelagomonas|s__Pelagomonas_calceolata,LEfSe,PFU,1.822310946,4.49E-05,0.000325196,***
k__Bacteria|p__Nitrospinota|p__Bacteria_Nitrospinota|c__Nitrospinia,PFU - Water,k__Bacteria|p__Nitrospinota|p__Bacteria_Nitrospinota|c__Nitrospinia,LEfSe,Water,1.821588597,0.002210592,0.008628946,**
k__Bacteria|p__Nitrospinota|p__Bacteria_Nitrospinota|c__Nitrospinia|o__Nitrospinales,PFU - Water,k__Bacteria|p__Nitrospinota|p__Bacteria_Nitrospinota|c__Nitrospinia|o__Nitrospinales,LEfSe,Water,1.821588597,0.002210592,0.008628946,**
k__Bacteria|p__Nitrospinota|p__Bacteria_Nitrospinota|c__Nitrospinia|o__Nitrospinales|f__Nitrospinaceae,PFU - Water,k__Bacteria|p__Nitrospinota|p__Bacteria_Nitrospinota|c__Nitrospinia|o__Nitrospinales|f__Nitrospinaceae,LEfSe,Water,1.821588597,0.002210592,0.008628946,**
k__Bacteria|p__Nitrospinota|p__Bacteria_Nitrospinota|c__Nitrospinia|o__Nitrospinales|f__Nitrospinaceae|g__Nitrospina,PFU - Water,k__Bacteria|p__Nitrospinota|p__Bacteria_Nitrospinota|c__Nitrospinia|o__Nitrospinales|f__Nitrospinaceae|g__Nitrospina,LEfSe,Water,1.821588597,0.002210592,0.008628946,**
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Pelagophyceae,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Pelagophyceae,LEfSe,PFU,1.819941544,0.000163229,0.000961698,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Pelagophyceae|o__Pelagomonadales,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Pelagophyceae|o__Pelagomonadales,LEfSe,PFU,1.819941544,0.000163229,0.000961698,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Pelagophyceae|o__Pelagomonadales|f__Pelagomonadaceae,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Pelagophyceae|o__Pelagomonadales|f__Pelagomonadaceae,LEfSe,PFU,1.819941544,0.000163229,0.000961698,***
k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Syntrophorhabdia,PFU - Water,k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Syntrophorhabdia,LEfSe,PFU,1.819224622,5.82E-07,8.04E-06,***
k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Syntrophorhabdia|o__Syntrophorhabdales,PFU - Water,k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Syntrophorhabdia|o__Syntrophorhabdales,LEfSe,PFU,1.819224622,5.82E-07,8.04E-06,***
k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Syntrophorhabdia|o__Syntrophorhabdales|f__Syntrophorhabdaceae,PFU - Water,k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Syntrophorhabdia|o__Syntrophorhabdales|f__Syntrophorhabdaceae,LEfSe,PFU,1.819224622,5.82E-07,8.04E-06,***
k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Syntrophorhabdia|o__Syntrophorhabdales|f__Syntrophorhabdaceae|g__Syntrophorhabdus,PFU - Water,k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Syntrophorhabdia|o__Syntrophorhabdales|f__Syntrophorhabdaceae|g__Syntrophorhabdus,LEfSe,PFU,1.819224622,5.82E-07,8.04E-06,***
k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Bacilli|o__RF39,PFU - Water,k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Bacilli|o__RF39,LEfSe,PFU,1.818314571,0.000100956,0.000639243,***
k__Bacteria|p__Chloroflexi|p__Bacteria_Chloroflexi|c__Dehalococcoidia|o__Napoli-4B-65,PFU - Water,k__Bacteria|p__Chloroflexi|p__Bacteria_Chloroflexi|c__Dehalococcoidia|o__Napoli-4B-65,LEfSe,PFU,1.816393838,0.001995976,0.007910311,**
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Blastocladiomycota|o__Blastocladiomycotina|f__Blastocladiomycetes|g__Blastocladiomycota_XX,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Blastocladiomycota|o__Blastocladiomycotina|f__Blastocladiomycetes|g__Blastocladiomycota_XX,LEfSe,PFU,1.812150703,0.000424164,0.002222701,**
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Tabrizicola,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Tabrizicola,LEfSe,PFU,1.807360245,0.000884348,0.003964721,**
k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Sarcomonadea|o__Glissomonadida|f__Bodomorphidae|g__Bodomorpha|s__Bodomorpha_minima,PFU - Water,k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Sarcomonadea|o__Glissomonadida|f__Bodomorphidae|g__Bodomorpha|s__Bodomorpha_minima,LEfSe,PFU,1.806986627,0.001967405,0.007825228,**
k__Bacteria|p__Nitrospirota|p__Bacteria_Nitrospirota|c__4-29-1,PFU - Water,k__Bacteria|p__Nitrospirota|p__Bacteria_Nitrospirota|c__4-29-1,LEfSe,PFU,1.804476309,2.29E-08,5.67E-07,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Kryptonia|o__Kryptoniales|f__BSV26|g__Ignavibacteria bacterium RIFCSPLOWO2_12_FULL_56_21,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Kryptonia|o__Kryptoniales|f__BSV26|g__Ignavibacteria bacterium RIFCSPLOWO2_12_FULL_56_21,LEfSe,PFU,1.803004217,5.29E-10,3.35E-08,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Phyllopharyngea|o__Cyrtophoria_4,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Phyllopharyngea|o__Cyrtophoria_4,LEfSe,PFU,1.797124071,3.02E-05,0.000231993,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Phyllopharyngea|o__Cyrtophoria_4|f__Chilodonellidae,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Phyllopharyngea|o__Cyrtophoria_4|f__Chilodonellidae,LEfSe,PFU,1.797124071,3.02E-05,0.000231993,***
k__Bacteria|p__Patescibacteria|p__Bacteria_Patescibacteria|c__Parcubacteria|o__Candidatus Kaiserbacteria|f__Parcubacteria group bacterium GW2011_GWD2_42_14,PFU - Water,k__Bacteria|p__Patescibacteria|p__Bacteria_Patescibacteria|c__Parcubacteria|o__Candidatus Kaiserbacteria|f__Parcubacteria group bacterium GW2011_GWD2_42_14,LEfSe,PFU,1.796127002,3.66E-09,1.44E-07,***
k__Bacteria|p__Patescibacteria|p__Bacteria_Patescibacteria|c__Parcubacteria|o__Candidatus Kaiserbacteria|f__Parcubacteria group bacterium GW2011_GWD2_42_14|g__Parcubacteria group bacterium GW2011_GWD2_42_14_X sp.,PFU - Water,k__Bacteria|p__Patescibacteria|p__Bacteria_Patescibacteria|c__Parcubacteria|o__Candidatus Kaiserbacteria|f__Parcubacteria group bacterium GW2011_GWD2_42_14|g__Parcubacteria group bacterium GW2011_GWD2_42_14_X sp.,LEfSe,PFU,1.796127002,3.66E-09,1.44E-07,***
k__Eukaryota|p__Amoebozoa_X|p__Eukaryota_Amoebozoa_X|c__Variosea|o__Variosea_X|f__Schizoplasmodiids,PFU - Water,k__Eukaryota|p__Amoebozoa_X|p__Eukaryota_Amoebozoa_X|c__Variosea|o__Variosea_X|f__Schizoplasmodiids,LEfSe,PFU,1.792314647,1.67E-07,2.84E-06,***
k__Eukaryota|p__Amoebozoa_X|p__Eukaryota_Amoebozoa_X|c__Variosea|o__Variosea_X|f__Schizoplasmodiids|g__Schizoplasmodium,PFU - Water,k__Eukaryota|p__Amoebozoa_X|p__Eukaryota_Amoebozoa_X|c__Variosea|o__Variosea_X|f__Schizoplasmodiids|g__Schizoplasmodium,LEfSe,PFU,1.792314647,1.67E-07,2.84E-06,***
k__Eukaryota|p__Amoebozoa_X|p__Eukaryota_Amoebozoa_X|c__Variosea|o__Variosea_X|f__Schizoplasmodiids|g__Schizoplasmodium|s__Schizoplasmodium_cavostelioides,PFU - Water,k__Eukaryota|p__Amoebozoa_X|p__Eukaryota_Amoebozoa_X|c__Variosea|o__Variosea_X|f__Schizoplasmodiids|g__Schizoplasmodium|s__Schizoplasmodium_cavostelioides,LEfSe,PFU,1.792314647,1.67E-07,2.84E-06,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae|g__BSV13,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae|g__BSV13,LEfSe,Water,1.791678244,0.001904532,0.0076164,**
k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Sarcomonadea|o__Glissomonadida|f__Sandonidae|g__Sandonidae_X,PFU - Water,k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Sarcomonadea|o__Glissomonadida|f__Sandonidae|g__Sandonidae_X,LEfSe,PFU,1.791444233,0.000163229,0.000961698,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Paracaedibacterales|f__Paracaedibacteraceae|g__Candidatus Finniella,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Paracaedibacterales|f__Paracaedibacteraceae|g__Candidatus Finniella,LEfSe,PFU,1.787065367,1.21E-05,0.000104566,***
k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Sarcomonadea|o__Glissomonadida|f__Allapsidae|g__Allantion,PFU - Water,k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Sarcomonadea|o__Glissomonadida|f__Allapsidae|g__Allantion,LEfSe,PFU,1.781681024,5.27E-06,5.28E-05,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Ignavibacteria|o__Ignavibacteriales|f__Ignavibacteriaceae,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Ignavibacteria|o__Ignavibacteriales|f__Ignavibacteriaceae,LEfSe,PFU,1.781039957,2.19E-05,0.00017411,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Ignavibacteria|o__Ignavibacteriales|f__Ignavibacteriaceae|g__Ignavibacterium,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Ignavibacteria|o__Ignavibacteriales|f__Ignavibacteriaceae|g__Ignavibacterium,LEfSe,PFU,1.781039957,2.19E-05,0.00017411,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__C39,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__C39,LEfSe,PFU,1.778624202,0.000259428,0.001458039,**
