bray,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,DW10,DW11,DW12,DW13,DW14,DW15,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,CW9,CW10,CW11,CW12,CW13,CW14,CW15
DP15,0.352400658,0.333831911,0.333523839,0.253672772,0.271299999,0.257193084,0.174936044,0.16669374,0.172716154,0.22122645,0.172581865,0.152549865,0.094034864,0.113470059,0,0.420016128,0.456791989,0.450181913,0.436626393,0.445734901,0.433049442,0.468530046,0.45020554,0.415703867,0.485264041,0.459735394,0.444008088,0.466620566,0.46426724,0.46221662,0.476604103,0.479950346,0.514875519,0.454816239,0.476373855,0.469815804,0.493438593,0.437854168,0.445254675,0.461344424,0.474318425,0.479366929,0.508888082,0.536866219,0.528110899,0.546016923,0.540467139,0.537749739,0.529460817,0.525826941,0.531383202,0.558474467,0.555225601,0.550211512,0.510259897,0.513376638,0.497013019,0.581268614,0.577930272,0.578072645
DW1,0.243612558,0.288357395,0.332663965,0.425235349,0.431436462,0.436858068,0.440001341,0.437441121,0.428705326,0.492092095,0.449505592,0.465219696,0.436611662,0.395981492,0.420016128,0,0.107682816,0.088386937,0.140488837,0.152508682,0.144737457,0.215668801,0.192869118,0.152935024,0.24995573,0.191845921,0.18126309,0.192105541,0.202061577,0.209071818,0.535389606,0.527586211,0.567265116,0.53350817,0.553903555,0.556655375,0.560360771,0.526042668,0.541550067,0.557140854,0.565224074,0.566754723,0.598529364,0.627732615,0.616792991,0.481921695,0.48259969,0.477349222,0.471175956,0.481252976,0.477875522,0.504917151,0.502756233,0.500554378,0.498876696,0.50494216,0.495478305,0.579026219,0.567532126,0.573601496
DW2,0.27754929,0.326822269,0.374132221,0.465355462,0.465279746,0.476287938,0.480670934,0.478652478,0.466802621,0.532216234,0.482916864,0.500610402,0.473469135,0.429151762,0.456791989,0.107682816,0,0.075935569,0.108883081,0.107043768,0.108088879,0.168073641,0.145546205,0.156699567,0.21566433,0.139730522,0.140855396,0.146762554,0.151722974,0.163228896,0.552533827,0.551548749,0.581140631,0.557890165,0.56410625,0.567798841,0.570896286,0.530318328,0.551550108,0.571173064,0.579850534,0.576690751,0.608448504,0.634800179,0.625033191,0.483862649,0.487048894,0.479496319,0.482571901,0.492205657,0.488529487,0.505450478,0.506836736,0.502342324,0.517328489,0.524439897,0.524390955,0.584906596,0.571677673,0.577488192
DW3,0.262435108,0.315277443,0.360368298,0.452838483,0.454761839,0.464419861,0.467071534,0.464990026,0.456252025,0.520677508,0.47787644,0.490802133,0.465250321,0.42131802,0.450181913,0.088386937,0.075935569,0,0.110516872,0.12210068,0.122455107,0.19097556,0.164262099,0.146651884,0.222252998,0.159589771,0.155056098,0.162641028,0.172095133,0.181263545,0.551377233,0.548296424,0.57773061,0.549471755,0.563640379,0.567147513,0.569893415,0.531738063,0.550038361,0.566639744,0.573165582,0.574693569,0.607323992,0.636034155,0.625739193,0.478727651,0.480344,0.473829966,0.471623228,0.487692375,0.477359119,0.498948909,0.501329763,0.496250103,0.511401401,0.518100735,0.514911998,0.584654254,0.571073749,0.578157926
DW4,0.293213658,0.328075884,0.365073124,0.442466114,0.442995844,0.451625138,0.457183438,0.454693462,0.446789833,0.505793742,0.471911718,0.481285983,0.452809802,0.406445301,0.436626393,0.140488837,0.108883081,0.110516872,0,0.074048258,0.069389273,0.146780128,0.114035736,0.118984829,0.186517573,0.121617141,0.106776831,0.146149613,0.151027909,0.152792715,0.544100422,0.542201993,0.567049623,0.541056764,0.549311451,0.551254728,0.552280537,0.512374948,0.530658501,0.552735386,0.563188817,0.55831633,0.590387584,0.616449819,0.606358258,0.446254111,0.451461641,0.444293764,0.444424995,0.462996965,0.4564373,0.467413663,0.46863882,0.464504237,0.493606095,0.500564216,0.49960945,0.561230163,0.54527518,0.553148042
DW5,0.296129491,0.336406806,0.372902209,0.458156951,0.455493499,0.465165551,0.466811079,0.466345383,0.454661536,0.518095895,0.475528863,0.489945539,0.463682056,0.41948894,0.445734901,0.152508682,0.107043768,0.12210068,0.074048258,0,0.076472328,0.135097369,0.098604375,0.128030826,0.190400237,0.111037787,0.114471801,0.146148493,0.140816194,0.14920291,0.548917735,0.549408526,0.578418945,0.551070659,0.557705626,0.561284969,0.559603407,0.519214407,0.535695526,0.564665728,0.574858871,0.56999776,0.603377629,0.624652093,0.616895363,0.456142894,0.462479465,0.45350903,0.454558719,0.473472298,0.46674108,0.477156394,0.477390627,0.474459351,0.509317189,0.51594357,0.519867389,0.57154162,0.556697442,0.563401375
DW6,0.287918547,0.325404528,0.360212295,0.444336997,0.443978373,0.453010652,0.455438649,0.455800258,0.445165127,0.506302851,0.464613934,0.477953728,0.451688288,0.40675854,0.433049442,0.144737457,0.108088879,0.122455107,0.069389273,0.076472328,0,0.135612754,0.106703682,0.124429751,0.189169201,0.121347423,0.115190139,0.15194964,0.15258664,0.157844661,0.540743265,0.540694974,0.568404711,0.538777847,0.545586707,0.55032554,0.550528416,0.508022962,0.527350801,0.554257601,0.565047302,0.559198733,0.592418013,0.616401347,0.606500157,0.461438875,0.463700201,0.457910784,0.458538293,0.467379179,0.468280815,0.481833263,0.48263459,0.479328051,0.498428172,0.504602391,0.507447953,0.563272477,0.548526581,0.555759285
DW7,0.333250383,0.368924434,0.41694761,0.487803075,0.484334072,0.495634823,0.495232732,0.49497376,0.479673731,0.543938499,0.476542684,0.504721918,0.483649928,0.441336182,0.468530046,0.215668801,0.168073641,0.19097556,0.146780128,0.135097369,0.135612754,0,0.087983414,0.181098721,0.126884491,0.109072039,0.129943123,0.126281672,0.123530618,0.124216958,0.564980014,0.568285396,0.589919671,0.562193331,0.567599173,0.563229417,0.55646055,0.522843146,0.536298133,0.569898614,0.579237494,0.573193854,0.607290378,0.619624242,0.622291321,0.456505535,0.460758703,0.457589434,0.459354973,0.46389639,0.466624999,0.475183038,0.476365877,0.472729846,0.519514262,0.52351339,0.534400239,0.567634433,0.55323117,0.560224444
DW8,0.314418297,0.351184916,0.390028989,0.467238349,0.46576854,0.476558108,0.475965659,0.475247732,0.460844286,0.526040217,0.47317312,0.488460479,0.468362518,0.424092371,0.45020554,0.192869118,0.145546205,0.164262099,0.114035736,0.098604375,0.106703682,0.087983414,0,0.135225022,0.161616195,0.090492519,0.103040877,0.126094577,0.117597994,0.131036042,0.549761082,0.552618102,0.577688508,0.549982385,0.556773637,0.557550812,0.555745746,0.519100506,0.535277465,0.564920266,0.572347547,0.568102826,0.601659817,0.621216286,0.615359842,0.457129422,0.4599629,0.452573513,0.455444488,0.468838191,0.463074069,0.479421399,0.4802788,0.475742505,0.509212865,0.515933921,0.522384582,0.570995708,0.556305441,0.563271202
DW9,0.294979834,0.326970133,0.348646879,0.429161877,0.431513567,0.435399521,0.437195768,0.436571528,0.426665045,0.487599839,0.448203347,0.459989153,0.435824115,0.393124275,0.415703867,0.152935024,0.156699567,0.146651884,0.118984829,0.128030826,0.124429751,0.181098721,0.135225022,0,0.235256696,0.145684146,0.131892975,0.190609716,0.189718677,0.200030479,0.534044194,0.530638732,0.570293026,0.535650862,0.55445955,0.558327538,0.565742964,0.526491483,0.544415447,0.5635412,0.569918858,0.573579255,0.603734709,0.631533163,0.620520276,0.471444523,0.474943851,0.464041464,0.464951432,0.481826229,0.47356617,0.494678731,0.493550703,0.48995031,0.497529585,0.505043697,0.498403835,0.582892384,0.569564237,0.57679666
